area,address,number,price,date,property_type,geocode,full_address
Fionn Laoi,Woodview,20,330000,2018-07-12,New Build,"51.89295672639931, -8.577244778805012","20 Woodview, Fionn Laoi"
Maglin,Maglin View,9,386000,2018-07-11,Second-Hand,"51.88135112776452, -8.59523805920491","9 Maglin View, Maglin"
Classis Lake,The Abbey,28,220000,2018-07-10,Second-Hand,"51.88586099008718, -8.62822296864587","28 The Abbey, Classis Lake"
Old Quarter,Coopers Grange,129,395000,2018-07-06,Second-Hand,"51.89008441064981, -8.590014945710507","129 Coopers Grange, Old Quarter"
The Cloisters,The Cloisters,63,280000,2018-07-06,Second-Hand,"51.88453436126935, -8.578108099687265","63 The Cloisters, The Cloisters"
Coolroe,Coolroe Court,4,450775,2018-07-05,New Build,"51.885279789132504, -8.622716969745719","4 Coolroe Court, Coolroe"
The Maltings,Granary Court,21,200000,2018-07-04,Second-Hand,"51.88503727921537, -8.591352822622822","21 Granary Court, The Maltings"
Coolroe,The Lawn,2,277500,2018-11-08,Second-Hand,"51.885279789132504, -8.622716969745719","2 The Lawn, Coolroe"
Maglin,Clincool Gardens,21,320000,2018-11-07,Second-Hand,"51.88135112776452, -8.59523805920491","21 Clincool Gardens, Maglin"
An Caislean,An Caislean,167,247000,2018-11-06,Second-Hand,"51.88419579207018, -8.604721941977742","167 An Caislean, An Caislean"
Powdermills,Powdermill Meadow,5,397250,2018-11-06,New Build,"51.89225015549648, -8.586096438526356","5 Powdermill Meadow, Powdermills"
The Crescent,The Crescent,45,260000,2018-11-05,Second-Hand,"51.88974689003794, -8.592724974545812","45 The Crescent, The Crescent"
Classis Lake,The Brambles,40,311000,2019-06-21,Second-Hand,"51.88586099008718, -8.62822296864587","40 The Brambles, Classis Lake"
Parknamore,Parknamore Heights,43,323475,2019-06-21,New Build,"51.88458744794133, -8.609309161051812","43 Parknamore Heights, Parknamore"
Old Quarter,Coopers Grange,54,290000,2019-06-17,Second-Hand,"51.89008441064981, -8.590014945710507","54 Coopers Grange, Old Quarter"
Old Quarter,Coopers Grange,98,310000,2019-06-17,Second-Hand,"51.89008441064981, -8.590014945710507","98 Coopers Grange, Old Quarter"
Castle Road,Castle Lodge,1,320000,2019-06-17,Second-Hand,"51.88234227885883, -8.59817565735788","1 Castle Lodge, Castle Road"
Old Quarter,Coopers Grange,16,410000,2019-02-14,New Build,"51.89008441064981, -8.590014945710507","16 Coopers Grange, Old Quarter"
Muskerry Estate,Castle Avenue,60,150000,2019-02-05,Second-Hand,"51.885514844369936, -8.596310161258103","60 Castle Avenue, Muskerry Estate"
