title,rating,upc,product_type
A Light in the Attic,Three,a897fe39b1053632,Books
The Requiem Red,One,f77dbf2323deb740,Books
"Starving Hearts (Triangular Trade Trilogy, #1)",Two,0312262ecafa5a40,Books
The Black Maria,One,1dfe412b8ac00530,Books
The Dirty Little Secrets of Getting Your Dream Job,Four,2597b5a345f45e1b,Books
Set Me Free,Five,ce6396b0f23f6ecc,Books
Shakespeare's Sonnets,Four,30a7f60cd76ca58c,Books
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Four,e10e1e165dc8be4a,Books
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Three,e72a5dfc7e9267b2,Books
Sapiens: A Brief History of Humankind,Five,4165285e1663650f,Books
Sharp Objects,Four,e00eb4fd7b871a48,Books
Soumission,One,6957f44c3847a760,Books
Tipping the Velvet,One,90fa61229261140a,Books
It's Only the Himalayas,Two,a22124811bfa8350,Books
Libertarianism for Beginners,Two,a18a4f574854aced,Books
Mesaerion: The Best Science Fiction Stories 1800-1849,One,e30f54cea9b38190,Books
Olio,One,feb7cc7701ecf901,Books
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Three,deda3e61b9514b83,Books
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Five,3b1c02bac2a429e6,Books
Rip it Up and Start Again,Five,a34ba96d4081e6a4,Books
