address,baths,beds,date,link,popularity,price,property_type,size
"21 Leesdale Drive, Ballincollig, Co. Cork",2 Bath,3 Bed,2021-07-27,https://www.daft.ie/for-sale/semi-detached-house-21-leesdale-drive-ballincollig-co-cork/3475146,"1,983","€260,000",Semi-D,81 m²
"Grange Hill, Ovens, Co. Cork",1 Bath,3 Bed,2021-07-27,https://www.daft.ie/for-sale/detached-house-grange-hill-ovens-co-cork/3475035,565,"€380,000",Detached,105 m²
"9 Highfield Crescent, Ballincollig, Co. Cork",3 Bath,3 Bed,2021-07-27,https://www.daft.ie/for-sale/semi-detached-house-9-highfield-crescent-ballincollig-co-cork/3472933,"1,209","€370,000",Semi-D,113 m²
"25 Leeview, Ballincollig, Co. Cork",2 Bath,3 Bed,2021-07-27,https://www.daft.ie/for-sale/semi-detached-house-25-leeview-ballincollig-co-cork/3472932,"1,594","€280,000",Semi-D,89 m²
"Altona, Kerry Pike, Co. Cork",2 Bath,4 Bed,2021-07-27,https://www.daft.ie/for-sale/detached-house-altona-kerry-pike-co-cork/3472439,"3,578","€395,000",Detached,158 m²
"39 The Brambles, Classes Lake, Ballincollig, Co. Cork",3 Bath,4 Bed,2021-07-27,https://www.daft.ie/for-sale/semi-detached-house-39-the-brambles-classes-lake-ballincollig-co-cork/3466672,"2,628","€360,000",Semi-D,107 m²
"Coolroe Ballincollig Cork, Ballincollig, Co. Cork",2 Bath,4 Bed,2021-07-27,https://www.daft.ie/for-sale/bungalow-coolroe-ballincollig-cork-ballincollig-co-cork/3465760,"2,627","€380,000",Bungalow,134 m²
"50 Old Court, Greenfields, Ballincollig, Co. Cork",3 Bath,3 Bed,2021-07-27,https://www.daft.ie/for-sale/semi-detached-house-50-old-court-greenfields-ballincollig-co-cork/3465112,"1,846","€350,000",Semi-D,87 m²
"15 Orchard Lane, Aherla, Co. Cork",2 Bath,3 Bed,2021-07-27,https://www.daft.ie/for-sale/terraced-house-15-orchard-lane-aherla-co-cork/3464921,"1,361","€275,000",Terrace,87 m²
"79 Coopers Grange, Old Quarter, Ballincollig, Co. Cork",3 Bath,3 Bed,2021-07-27,https://www.daft.ie/for-sale/semi-detached-house-79-coopers-grange-old-quarter-ballincollig-co-cork/3453918,"3,242","€345,000",Semi-D,103 m²
"8 Millers Court, Old Quarter, Ballincollig, Co. Cork",3 Bath,3 Bed,2021-07-27,https://www.daft.ie/for-sale/semi-detached-house-8-millers-court-old-quarter-ballincollig-co-cork/3453894,"2,136","€345,000",Semi-D,106 m²
"36 Castlepark, Ballincollig, Co. Cork",2 Bath,3 Bed,2021-07-27,https://www.daft.ie/for-sale/terraced-house-36-castlepark-ballincollig-co-cork/3451398,"3,854","€225,000",Terrace,89 m²
"104 Caisleán Grove, Ballincollig, Co. Cork",3 Bath,3 Bed,2021-07-27,https://www.daft.ie/for-sale/semi-detached-house-104-caisle-n-grove-ballincollig-co-cork/3447436,"2,502","€279,000",Semi-D,89 m²
"14 The Avenue, Highfield Park, Ballincollig, Co. Cork",3 Bath,3 Bed,2021-07-27,https://www.daft.ie/for-sale/end-of-terrace-house-14-the-avenue-highfield-park-ballincollig-co-cork/3441522,"3,200","€325,000",End of Terrace,108 m²
