address,property_type,beds,baths,price
Ballincollig,Second-Hand Dwelling House/Apartment,,,"267,000"
Ballincollig,New Dwelling House/Apartment,,,"460,000"
Ballincollig,Second-Hand Dwelling House/Apartment,,,"111,500 **"
Ballincollig,Semi-Detached House ,4,3,"340,000"
Ballincollig,New Dwelling House/Apartment,,,"465,000"
Ballincollig,Semi-Detached House ,3,1,"252,000"
Ballincollig,Second-Hand Dwelling House/Apartment,,,"280,000"
Ballincollig,Semi-Detached House ,3,3,"300,000"
Ballincollig,New Dwelling House/Apartment,,,"422,500"
Ballincollig,Second-Hand Dwelling House/Apartment,,,"275,000"
Ballincollig,Terraced House ,2,2,"250,000"
Ballincollig,Semi-Detached House ,3,1,"261,000"
Ballincollig,Detached House ,4,3,"465,000"
Ballincollig,New Dwelling House/Apartment,,,"400,000"
Ballincollig,New Dwelling House/Apartment,,,"360,000"
Ballincollig,Semi-Detached House ,4,3,"360,000"
Ballincollig,Detached House ,4,2,"335,000"
Ballincollig,Second-Hand Dwelling House/Apartment,,,"550,000"
Ballincollig,New Dwelling House/Apartment,,,"350,000"
Ballincollig,End of Terrace House ,4,4,"395,000"
Ballincollig,New Dwelling House/Apartment,,,"399,999"
Ballincollig,New Dwelling House/Apartment,,,"350,000"
Ballincollig,Semi-Detached House ,3,3,"330,000"
Ballincollig,Second-Hand Dwelling House/Apartment,,,"200,000"
Ballincollig,Semi-Detached House ,3,2,"290,000"
Ballincollig,New Dwelling House/Apartment,,,"399,999"
Ballincollig,New Dwelling House/Apartment,,,"350,000"
Ballincollig,New Dwelling House/Apartment,,,"330,000"
Ballincollig,Apartment For Sale ,2,1,"220,000"
Ballincollig,Semi-Detached House ,3,2,"280,000"
Ballincollig,Semi-Detached House ,4,3,"395,000"
Ballincollig,New Dwelling House/Apartment,,,"450,775"
Ballincollig,Second-Hand Dwelling House/Apartment,,,"200,000"
Ballincollig,New Dwelling House/Apartment,,,"330,000"
Ballincollig,New Dwelling House/Apartment,,,"330,000"
Ballincollig,Semi-Detached House ,4,2,"335,000"
Ballincollig,End of Terrace House ,4,4,"320,000"
Ballincollig,New Dwelling House/Apartment,,,"460,000"
Ballincollig,New Dwelling House/Apartment,,,"896,650"
Ballincollig,Semi-Detached House ,3,2,"265,000"
Ballincollig,Second-Hand Dwelling House/Apartment,,,"610,000"
Ballincollig,Second-Hand Dwelling House/Apartment,,,"287,000"
Ballincollig,Terraced House ,3,3,"251,000"
Ballincollig,Second-Hand Dwelling House/Apartment,,,"220,000"
Ballincollig,Terraced House ,2,2,"250,000"
Ballincollig,Semi-Detached House ,3,1,"223,000"
Ballincollig,Second-Hand Dwelling House/Apartment,,,"332,000"
Ballincollig,New Dwelling House/Apartment,,,"385,000"
Ballincollig,Terraced House ,2,1,"258,000"
Ballincollig,Semi-Detached House ,4,3,"280,000"
Ballincollig,End of Terrace House ,3,1,"230,000"
Ballincollig,Second-Hand Dwelling House/Apartment,,,"295,000"
Ballincollig,Semi-Detached House ,3,3,"266,000"
Ballincollig,Second-Hand Dwelling House/Apartment,,,"205,000"
Ballincollig,Second-Hand Dwelling House/Apartment,,,"355,000"
Ballincollig,Apartment For Sale ,2,2,"203,500"
Ballincollig,New Dwelling House/Apartment,,,"385,000"
Ballincollig,Second-Hand Dwelling House/Apartment,,,"245,000"
Ballincollig,New Dwelling House/Apartment,,,"385,000"
Ballincollig,Terraced House ,4,4,"467,620"
Ballincollig,Terraced House ,3,3,"339,000"
Ballincollig,Semi-Detached House ,3,1,"252,000"
Ballincollig,Second-Hand Dwelling House/Apartment,,,"210,000"
Ballincollig,New Dwelling House/Apartment,,,"380,225"
Ballincollig,Detached House ,4,4,"465,000"
Ballincollig,Detached House ,4,2,"310,000"
Ballincollig,Detached House ,,,"470,000"
Ballincollig,Terraced House ,3,3,"280,000"
Ballincollig,New Dwelling House/Apartment,,,"384,820"
Ballincollig,Second-Hand Dwelling House/Apartment,,,"190,000"
Ballincollig,Detached House ,4,3,"345,000"
Ballincollig,Second-Hand Dwelling House/Apartment,,,"500,000"
Ballincollig,Semi-Detached House ,3,2,"235,000"
Ballincollig,Terraced House ,3,2,"275,000"
Ballincollig,New Dwelling House/Apartment,,,"485,000"
