,address,baths,beds,date,link,popularity,price,property_type,size,area,geocode
0,"21 Leesdale Drive, Ballincollig, Co. Cork",2,3,2021-07-26,https://www.daft.ie/for-sale/semi-detached-house-21-leesdale-drive-ballincollig-co-cork/3475146,1840,260000,Semi-D,81,Carrigrohane,"51.89118108080445, -8.570433423222292"
2,"9 Highfield Crescent, Ballincollig, Co. Cork",3,3,2021-07-26,https://www.daft.ie/for-sale/semi-detached-house-9-highfield-crescent-ballincollig-co-cork/3472933,1156,370000,Semi-D,113,Highfield,"51.88483134751023, -8.573114016875365"
5,"39 The Brambles, Classes Lake, Ballincollig, Co. Cork",3,4,2021-07-26,https://www.daft.ie/for-sale/semi-detached-house-39-the-brambles-classes-lake-ballincollig-co-cork/3466672,2570,360000,Semi-D,107,Classis Lake,"51.88586099008718, -8.62822296864587"
6,"Coolroe Ballincollig Cork, Ballincollig, Co. Cork",2,4,2021-07-26,https://www.daft.ie/for-sale/bungalow-coolroe-ballincollig-cork-ballincollig-co-cork/3465760,2589,380000,Bungalow,134,Coolroe,"51.885279789132504, -8.622716969745719"
7,"50 Old Court, Greenfields, Ballincollig, Co. Cork",3,3,2021-07-26,https://www.daft.ie/for-sale/semi-detached-house-50-old-court-greenfields-ballincollig-co-cork/3465112,1808,350000,Semi-D,87,Greenfield,"51.88072634468435, -8.611355403381312"
9,"79 Coopers Grange, Old Quarter, Ballincollig, Co. Cork",3,3,2021-07-26,https://www.daft.ie/for-sale/semi-detached-house-79-coopers-grange-old-quarter-ballincollig-co-cork/3453918,3203,345000,Semi-D,103,Old Quarter,"51.89008441064981, -8.590014945710507"
10,"8 Millers Court, Old Quarter, Ballincollig, Co. Cork",3,3,2021-07-26,https://www.daft.ie/for-sale/semi-detached-house-8-millers-court-old-quarter-ballincollig-co-cork/3453894,2112,345000,Semi-D,106,Old Quarter,"51.89008441064981, -8.590014945710507"
11,"36 Castlepark, Ballincollig, Co. Cork",2,3,2021-07-26,https://www.daft.ie/for-sale/terraced-house-36-castlepark-ballincollig-co-cork/3451398,3797,225000,Terrace,89,Castlepark,"51.88653927567583, -8.585310716875346"
12,"104 Caisleán Grove, Ballincollig, Co. Cork",3,3,2021-07-26,https://www.daft.ie/for-sale/semi-detached-house-104-caisle-n-grove-ballincollig-co-cork/3447436,2471,279000,Semi-D,89,An Caislean,"51.88419579207018, -8.604721941977742"
13,"14 The Avenue, Highfield Park, Ballincollig, Co. Cork",3,3,2021-07-26,https://www.daft.ie/for-sale/end-of-terrace-house-14-the-avenue-highfield-park-ballincollig-co-cork/3441522,3136,325000,End of Terrace,108,Highfield,"51.88483134751023, -8.573114016875365"
15,"22 Beech Road, Muskerry Estate, Ballincollg, Ballincollig, Co. Cork",2,4,2021-07-26,https://www.daft.ie/for-sale/semi-detached-house-22-beech-road-muskerry-estate-ballincollg-ballincollig-co-cork/3439813,1572,350000,Semi-D,130,Muskerry Estate,"51.885514844369936, -8.596310161258103"
16,"92 Leslies Arch, Old Quarter, Ballincollig, Co. Cork",2,3,2021-07-26,https://www.daft.ie/for-sale/detached-house-92-leslies-arch-old-quarter-ballincollig-co-cork/3439767,2202,330000,Detached,93,Old Quarter,"51.89008441064981, -8.590014945710507"
17,"The Bungalow, Coolroe, Ballincollig, Co. Cork",2,4,2021-07-26,https://www.daft.ie/for-sale/detached-house-the-bungalow-coolroe-ballincollig-co-cork/3439755,1259,375000,Detached,116,Coolroe,"51.885279789132504, -8.622716969745719"
18,"1 Manor Avenue, Grange Manor, Ovens, Co. Cork",2,3,2021-07-26,https://www.daft.ie/for-sale/detached-house-1-manor-avenue-grange-manor-ovens-co-cork/3439735,1256,335000,Detached,118,Ovens,"51.88127654707539, -8.658682937965343"
19,"Vesna, 57 Rosewood, Ballincollig, Co. Cork",3,4,2021-07-26,https://www.daft.ie/for-sale/detached-house-vesna-57-rosewood-ballincollig-co-cork/3433450,5502,395000,Detached,203,Rosewood,"51.88865181082447, -8.575978970851866"
20,"36 Westcourt Heights, Ballincollig, Co. Cork",2,4,2021-07-26,https://www.daft.ie/for-sale/detached-house-36-westcourt-heights-ballincollig-co-cork/3413318,5030,345000,Detached,129,Westcourt,"51.88681255417706, -8.616295628522487"
21,"2 Glendower Court, Ballincollig, Co. Cork",2,4,2021-07-26,https://www.daft.ie/for-sale/semi-detached-house-2-glendower-court-ballincollig-co-cork/3411945,3781,315000,Semi-D,129,Glendower Court,"51.89097713659068, -8.579260601534097"
22,"17 Coolroe Heights, Ballincollig, Co. Cork",2,4,2021-07-26,https://www.daft.ie/for-sale/semi-detached-house-17-coolroe-heights-ballincollig-co-cork/3290154,3170,295000,Semi-D,118,Coolroe,"51.885279789132504, -8.622716969745719"
23,"20 Oak Avenue, Classes Lake, Ovens, Co. Cork",2,3,2021-07-26,https://www.daft.ie/for-sale/semi-detached-house-20-oak-avenue-classes-lake-ovens-co-cork/3245743,4700,300000,Semi-D,118,Ovens,"51.88127654707539, -8.658682937965343"
24,"Fatima, Poulavone, Ballincollig, Co. Cork",2,4,2021-07-26,https://www.daft.ie/for-sale/bungalow-fatima-poulavone-ballincollig-co-cork/2933649,11777,365000,Bungalow,106,Town Center,"51.8878563321983, -8.600737381727024"
25,"Farran Ovens, Ballincollig, Co. Cork",2,4,2021-07-26,https://www.daft.ie/for-sale/bungalow-farran-ovens-ballincollig-co-cork/1519052,23858,325000,Bungalow,167,Ovens,"51.88127654707539, -8.658682937965343"
26,"5 Farran View Cottages, Clashanure, Ovens, Co. Cork",3,4,2021-07-26,https://www.daft.ie/for-sale/semi-detached-house-5-farran-view-cottages-clashanure-ovens-co-cork/1445534,47984,230000,Semi-D,130,Ovens,"51.88127654707539, -8.658682937965343"
