address_area_1,address_area_2,address_number,date,price,property_type
Woodview,", Fionn Laoi, ",20 ,2018-07-12,"€330,000",New Build
Maglin View,", ",9 ,2018-07-11,"€386,000",Second-Hand
The Abbey,", Classes Lake, ",28 ,2018-07-10,"€220,000",Second-Hand
Coopers Grange,", Old Quarter, ",129 ,2018-07-06,"€395,000",Second-Hand
The Cloisters,", ",63 ,2018-07-06,"€280,000",Second-Hand
Coolroe Court,", West Village, ",4 ,2018-07-05,"€450,775",New Build
Granary Court,", The Maltings, ",21 ,2018-07-04,"€200,000",Second-Hand
The Lawn,", Coolroe Meadows, ",2 ,2018-11-08,"€277,500",Second-Hand
Clincool Gardens,", ",21 ,2018-11-07,"€320,000",Second-Hand
An Caislean,", ",167 ,2018-11-06,"€247,000",Second-Hand
Powdermill Meadow,", East Side, ",5 ,2018-11-06,"€397,250",New Build
The Crescent,", Old Quarter, ",45 ,2018-11-05,"€260,000",Second-Hand
The Brambles,", Classis Lake, ",40 ,2019-06-21,"€311,000",Second-Hand
Parknamore Heights,", ",43 ,2019-06-21,"€323,475",New Build
Coopers Grange,", Old Quarter, ",54 ,2019-06-17,"€290,000",Second-Hand
Coopers Grange,", Old Quarter, ",98 ,2019-06-17,"€310,000",Second-Hand
Castle Lodge,,", Castle Road, ",2019-06-17,"€320,000",Second-Hand
Coopers Grange,", Old Quarter, ",16 ,2019-02-14,"€410,000",New Build
Castle Avenue,", Muskerry Estate, ",60 ,2019-02-05,"€150,000",Second-Hand
Chapel Lane,", ",1 ,2019-02-04,"€180,000",Second-Hand
Coopers Grange,", Old Quarter, ",15 ,2019-02-04,"€409,999",New Build
Glincool Grove,", ",17 ,2019-02-01,"€225,000",Second-Hand
The Crescent,", Old Fort Road, ",37 ,2019-01-29,"€256,000",Second-Hand
The Crescent,", Highfield Park, ",17 ,2019-01-28,"€275,000",Second-Hand
Westcourt Heights,", ",6 ,2019-01-25,"€150,000",Second-Hand
Woodview,", Fionn Laoi, ",10 ,2019-01-21,"€340,000",New Build
Fernwalk,", Greenfields, ",70 ,2019-09-27,"€580,000",Second-Hand
