date,link,text,compensation,employment_type,images,description
2018-08-14 11:39,https://newyork.craigslist.org/brk/sof/d/senior-developer/6670726634.html,Senior Developer,Dependent on experience,full-time,,"
        ,
Gramercy Tech is looking to hire a senior developer to work with on of our clients - a growing real estate tech startup in NYC. This company has built a digital platform for managing the sales and rental application process in NYC real estate, and as a growing startup, they need developers with creativity and the focus to help build a great product!,
,
The ideal candidate is an experienced web developer with a passion for building a highly functional product using elegant, scaleable code - and someone who is excited to lead a growing tech team. The role includes mentoring and supporting junior developers, improving the site architecture, and serving as advisor on high-level strategy and business decisions.,
,
Key Responsibilities,
,
- Writing strong and scaleable code.,
- Maintaining and improving various Amazon Web Services.,
- Overseeing weekly deployments.,
- Participating in strategy planning for latest improvements and additions to the system.,
- Supporting and mentoring junior engineers.,
,
Required Skills,
,
- Deep understanding of Ruby on Rails, Javascript and JQuery.,
- Deep familiarity with AWS.,
,
- Minimum 5 years full-time work as a full stack web developer.,
- Minimum 3 years building unique web features from scratch with minimal supervision.,
- Ability to lead and learn from a growing team of junior engineers.,
,
Pluses,
,
- Familiarity with Go, React, Redis, Rollbar, Sidekiq, Skylight, and Stripe.,
- Familiarity with NYC real estate and/or the PropTech industry.,
,
We look forward to hearing from you!!    "
2018-07-27 15:02,https://newyork.craigslist.org/jsy/sof/d/web-and-mobile-application/6655004815.html,WEB and MOBILE Application Developer-Angular (3+),$35.00-$45.00,full-time,,"
        ,
Great 1 year opportunity with phenomenal Fortune 500 corporatoin,
$38.00-$44.00 per hour per hour,
Strong temp to perm potential,
,
REQUIRES 3-5 Years experience,
,
MUST HAVE ANGULAR (3+),
,
-Excecute clean and progressively enhanced code for complex designs that reflect the creative and artistic direction provided within the established technical framework,
,
-Review/analyze information architecture and wireframes; work with team members to resolve gaps and assist with the architectural implementation of creative/UX direction,
-Develop functional and appealing web and mobile based applications based on usability,
-Use a combination of markup languages to write web pages including but not limited to javascript and HTML,
-Write functional requirement documents and specifications,
-Create quality mockups and prototypes on tight timelines,
-Assure that all user input is validated before submitting to back end,
-Assist back end developers with coding and troubleshooting,
-Create cascading style sheets that are consistent across all browsers and platforms,
-Maintain graphic standards and branding throughout the products interface,
-Promote usability best practices,
-Optimize applicatoin for maximum performance and scalability,
-Experience in planning and delivering software platforms used across multiple products nad organization units,
,
___________________________________________________________________________________,
,
-Bachelors Degree required in compouter science, industrial design, human computer interaction or related field,
-Minimum of 5 years front end development experience,
-Proficient in HTML5, CSS3, JavaScript, Angular JS (3+), JQUERY,
-Must be familiar with SASS,git CLI, ANgular CLI and basics of X-Code,
-Experience reading and writing JSON and XML,
-Experience with CSS preprocessors (SASS, LESS),
-Knowledge in web services (REST/SOAP) and API's,
-Understanding of cross browser development,
-Experience with Photoshop and InDesign a plus,
,
For immediate consideration, please forward your resume    "
2018-07-27 15:43,https://newyork.craigslist.org/mnh/sof/d/database-administrator-junior/6655050281.html,DATABASE ADMINISTRATOR (JUNIOR ),$20 Per Hour,part-time,,"
        ,
A boutique, long-lived health company is looking for an IN-HOUSE DBA.,
,
This is an in-house position, no e-commuting, please.,
As a database administrator, you'll be responsible for the performance, integrity, and security of retail sales database.,
Proactively perform cross-platform data updates, record comparison, and integrity verification.,
Perform minor data entry as needed.,
Actively assist in database analysis and design.,
Perform data exports/imports.,
Updating and amending existing databases according to information from a warehouse, fulfillment house, manufacturer, and from customers.,
Be fluent in SQL and versatile with MS Office tools, especially with Excel.,
Creating complex queries that allow data to be extracted.,
Must be willing to learn new and custom made front-end systems.,
Familiarity with front-end development is a big plus.,
Must be a natural communicator and collaborator and understand the importance of communication inside the team.,
Work closely with various business departments and create reports on demand.,
You will report to the Chief Technology Officer,
You will be working with active production environment as well as with staging systems.,
You must be able to lift heavy objects - 30lb.,
As a team member, you may be occasionally asked to temporarily play various roles at the office. (No worries, we DO have cleaning personnel)    "
2018-07-28 16:59,https://newyork.craigslist.org/mnh/sof/d/brokerage-firm-hiring/6656002819.html,Brokerage Firm Hiring Business Analyst & C# Server Side Developer,base salary up to $130K plus bonus,full-time,,"
        ,
Careers On The Move (www.CareersOnTheMove.com),
,
About Us: Our clients range from Fortune 500 companies to niche service providers and rapidly expanding new businesses globally. Among these are top-tier investment banks, accounting firms, valuation firms, hedge funds, professional services organizations, non-profit entities, consumer product companies and technology providers. Many are industry leaders in financial services, risk management, business valuation, software development, market data, the energy sector, and economic development. Our services include the full recruitment cycle front to back office. Careers On The Move has successfully placed candidates at various financial centers throughout the world.,
,
Join us on Facebook, Twitter, LinkedIn, Google+, and Pinterest!,
,
 ,
Business Analyst - Fidessa - NYC (2 spots),
,
Our client, a leading brokerage firm is seeking a Business Analyst with strong knowledge of  Fidessa and Equity cash transactions. The ideal candidate will have excellent communication skills and the ability to work well under pressure.  Ideally, they will have deep experience with NYFIX, NASDAQ, ACT, OATS, TRACE, BETA, Flextrade, equities trade flow and routing.  Knowledge of  Risk Management and Imagine systems is a plus.  BRASS experience will also be considered.,
,
Bachelors Degree required.,
,
,
Location: NYC,
,
Salary: $120K + Bonus,
,
*****************************************************************************************,
Trading Systems C# Server Side Developer - Central NJ / NYC,
,
Our client, a leading brokerage firm is seeking a Trading Systems C# Server Side Developer.,
,
The position will be responsible for development mainly in C# server side components. Experience in middleware components and GUI are highly recommended.,
,
This position will be part of the core team that is responsible for building out technology solutions and creating .Net components and applications that support major business lines in a trading environment. Developer will help maintain various components of the trading and monitoring systems. The position will be responsible for development mainly in C# server side components. Experience in middleware components and GUI are highly recommended.,
,
Requirements:,
,
· BS in Computer Science, Engineering, Mathematics, or a related field is considered a plus,
,
· 5 years or more coding C# .Net,,
· 8 years or more actual programming experience.,
· Experience in WPF, PRISM or other frameworks.,
· Experience with Microsoft development tools (Visual Studio).,
· 3 years or more experience in any SQL database, preferably SQL Server,
· Experience in Object Oriented Design and Patterns,
· Strong multi-thread programming knowledge required.,
· Very good Oral and written technical communication skills, including the ability to document code, and produce technical documentation when required.,
· Ability to interact with technical and non-technical teams when required.,
· Ability to work on multiple projects.,
· Acute attention to details, and the ability to provide feedback on technical specifications.,
· Must be able to work independently and with other developers on projects when required.,
· The ability to perform detailed developer unit testing.,
· Strong troubleshooting, decision making and problem solving skills,
· Experience with a real-time applications,
· Self-motivate in learning new technologies,
· Experience with WCF,
,
•A self-starter with excellent written and verbal communication skills,
,
•US citizen or Green Card holder,
,
Careers On The Move News:,
Richelle Konian, CEO of Careers On The Move, is shown delivering a powerful, inspiring keynote at the Commencement Ceremony for the University at Albany's School of Business undergraduate program on May 19, 2018.,
,
Richelle founded Careers On The Move, an award winning boutique executive search firm, five years after graduating from the University at Albany's School of Business in 2000. Richelle conveys a strong message in which resilience, grit and perseverance are the key attributes during good and bad times.,
,
Richelle Konian, a noted Career Expert, has provided her expertise on major television networks and leading publications, such as CBS Evening News, CNBC's Squawk Box, the Wall Street Journal and Reuters, while also having received many other accolades.,
Watch here:,
,
Feature article: , ,
,
,
,
    "
2018-07-27 14:12,https://newyork.craigslist.org/mnh/sof/d/devops-engineer/6654946694.html,DevOps Engineer,TBD,contract,,"
        ,
Our client in New York City is looking to hire a Devops Engineer to join their team. They are moving infrastructure to AWS. The team oversees Linux servers in an AWS environment utilizing IaS, PaaS and Serverless solutions.,
,
Qualifications:,
,
AWS & config management (Azure, Ansible chef or puppet also works),
Expert Automation Powershell and Python,
Docker containers,
Strong linux admin skills and experience with enterprise infrastructure,
,
Nice To Have:,
,
Windows server experience,
Terraform, Kubernetes, Jenkins, Single Sign-on, Elk Stack, JIRA, Git, Vagrant and Packer,
,
Job ID: 165815    "
2018-07-28 19:46,https://newyork.craigslist.org/mnh/sof/d/dev-for-startup-equity-only/6656128668.html,"Dev for startup, equity only: Firebase, Ionic, Web App, Basic APIs",Equity,employee's choice,,"
        ,
Hello,,
,
I am a senior designer for quantum and AI department in a research department at a large tech company with products and 10 patents under my belt. I have a startup idea that I am willing to bootstrap (minus salary) with my own money to get things started.,
,
I am looking for a Firebase, Ionic, Web app (basically full stack devs) to work on this. With an NDA signed, it'd be great to get things started.,
,
Please reach out for coffee/beer! I'm  in Kips Bay area.    "
2018-07-24 12:19,https://newyork.craigslist.org/mnh/sof/d/freelance-android-developer/6652017354.html,Freelance Android developer needed (US Candidates Only),hourly rate based on experience,contract,,"
        ,
We are not considering remote workers outside of the US for this position.,
,
5-7 years in Android development - please be prepared to show us examples of published apps and code.,
,
You must be available to work during regular business hours and attend online meetings with Google Hangouts,
,
Good understanding of Android framework components and their lifecycle combined with a solid knowledge of multithreading, networking, offline storage and performance tuning.,
,
Knowledge of open-source Android ecosystem, libraries, design patterns and architecture.,
,
Experience integrating with RESTful APIs and backend systems.,
,
Knowledge of the deployment process of an Android app through Google Play.,
,
Knowledge of common architecture patterns used in Android development.,
,
A desire to improve, learn more and take things to the next level.,
,
Strong interpersonal skills and ability to collaborate with cross-functional partners (i.e. Design,,
,
Backend, Product, Sales & Marketing).,
,
B .S. and/or M.S. Computer Science or related field a plus.,
,
Implement best practices for developing Android applications that target multiple devices and platform versions.,
,
Design, develop and test new features by updating existing code, as well as from the ground up.,
,
Small close-knit team startup.,
,
Please submit your resume and links to apps.,
,
Job Type: Freelance Contract,
    "
2018-07-27 14:08,https://newyork.craigslist.org/mnh/sof/d/senior-software-engineer/6654942534.html,Senior Software Engineer,TBD,contract,,"
        ,
Our client in New York City is seeking a Senior Site Reliability Engineer. ,
,
Qualifications:,
,
Proficient in functional programming language (R, PHP, K, PERl, ATL),
At least 5 years as a software developer ,
,
Nice To Have:,
,
Experience building systems for data centers,
Experience programming in K language ,
Comfortable with Python and Java,
,
Job ID: 167464    "
2018-07-24 09:21,https://newyork.craigslist.org/mnh/sof/d/career-opportunities-in-it/6651830739.html,"Career Opportunities in IT, Technology for Immigrant Professionals",This is a free training program,full-time,,"
        ,
Career Opportunities in IT, Technology for Immigrant Professionals ,
,
The Cooper Union Retraining Program for Immigrant Engineers at CAMBA assists highly skilled immigrant professionals who are underemployed or unemployed gain access to higher paying jobs through training and job placement assistance. The program includes courses in information technology and mechanical, electrical and civil engineering. Courses are scheduled around the needs of working professionals and offered evenings and weekends. ,
,
Since its inception in 1987, the Retraining Program helped connect more than 4,000 immigrant professionals to science, technology and engineering jobs. ,
,
ALL SERVICES ARE FREE,
,
Classes include:,
Cyber Security,
Linux (Unix) Administration,
Data Architecture Principles, Data Structure and SQL,
Java Programming,
Microsoft .Net and C#,
Software Quality Assurance - Manual and Automated Testing,
Android Software Development,
,
To be considered for the program applicants must:,
,
•Be born outside of the United States,
•Be authorized to work in the United States,
•Have a bachelor's degree or higher and professional experience in the field of engineering, information technology, or a related field from the country of origin,
•Have lived in the U.S. less than five full years. (Exceptions for those in the U.S. more than five years may be made on a case-by-case basis),
•Be unemployed, underemployed, or working in a field not related to your education,
•Have intermediate+ English fluency,
•Demonstrate a financial need,
•Be highly motivated to pursue professional job search,
,
Please, see our web site www.cooper.edu/immigrant-retraining  for more information and application instructions.,
    "
2018-07-24 14:16,https://newyork.craigslist.org/mnh/sof/d/inside-sales-manager/6652159322.html,"Inside Sales Manager, Enterprise Software","$90,000 + Bonus",full-time,,"
        ,
We are a fast growing and well recognized software company in the Fin/Tech, Compliance space.  We are looking for an INSIDE SALES MANAGER for our SOFTWARE PRODUCTS.  Must have 2-4 years experience using Webex or other tools to demonstrate and sell products.  ,
,
If interested, send resume in complete confidence.    "
