country,skill_sets,top_skills
Ireland,"[{'\n  Industry Knowledge': ['Artificial Intelligence', 'Algorithms', 'Data Structures', 'Object Oriented Design', 'Research', 'Data Analysis', 'Big Data', 'Statistics']}, {'\n  Tools & Technologies': ['Java', 'LaTeX', 'Python', 'R', 'SQL']}, {'\n  Interpersonal Skills': ['Problem Solving']}, {'\n  Other Skills': ['Pattern Recognition', 'Algorithm Design', 'Fast-Learning', 'Software Design Patterns', 'Weka', 'Pig', 'MapReduce', 'RHadoop', 'Apache Pig', 'Apache Hive', 'GNU Octave', 'Hive']}]","Data Science,Machine Learning,Data Mining"
Greater Seattle Area,"[{'\n  Industry Knowledge': ['Data Analysis', 'Requirements Analysis', 'Statistical Data Analysis', 'Business Process Management', 'Project Management']}, {'\n  Tools & Technologies': ['R', 'MySQL', 'Microsoft Office', 'Unix', 'MongoDB', 'VBScript', 'Matlab', 'Oracle Database', 'Tableau', 'SSRS', 'SSIS', 'JIRA', 'C', 'HTML', 'SPSS', 'Microsoft Excel', 'Databases', 'SQL Server Integration Services (SSIS)']}, {'\n  Other Skills': ['SAS E-Miner', 'Neo4j', 'Qualtrics']}]","SQL,Microsoft SQL Server,C++"
"Seattle, Washington","[{'\n  Industry Knowledge': ['Machine Learning']}, {'\n  Tools & Technologies': ['Tableau', 'SQL', 'Java', 'Hadoop', 'Microsoft SQL Server', 'Flume']}, {'\n  Other Skills': ['Apache Pig', 'Apache Spark', 'Apache Storm', 'Matplotlib', 'NumPy', 'Predictive Modeling', 'Data Science']}]","Python,Scikit-Learn,R"
Greater Seattle Area,"[{'\n  Industry Knowledge': ['Statistical Modeling', 'Data Visualization', 'Research']}, {'\n  Tools & Technologies': ['Matlab', 'SAS', 'Microsoft Excel', 'Microsoft Office', 'C++', 'SQL', 'SPSS']}, {'\n  Other Skills': ['Bayesian methods', 'CFA Level 1']}]","Data Analysis,R,Statistics"
"Cambridge, United Kingdom","[{'\n  Industry Knowledge': ['Big Data', 'Data analysis', 'Data Analysis', 'Machine Learning']}, {'\n  Tools & Technologies': ['SQL', 'C++', 'Linux', 'Matlab', 'C', 'HBase', 'R', 'OpenGL']}, {'\n  Other Skills': ['SPARQL', 'Kettle', 'Pentaho', 'OpenCV', 'OGRE']}]","Python,Software Engineering,Java"
Greater Seattle Area,"[{'\n  Industry Knowledge': ['Statistics', 'Machine Learning', 'Sales', 'Data Analysis']}, {'\n  Tools & Technologies': ['SQL', 'Tableau', 'QlikView', 'Microsoft SQL Server', 'Microsoft Excel', 'Salesforce.com', 'SQL Server Reporting Services (SSRS)', 'Git', 'PostgreSQL']}, {'\n  Interpersonal Skills': ['Leadership', 'Teamwork', 'Customer Service']}, {'\n  Other Skills': ['Regression Analysis', 'MapReduce', 'Spark', 'Recommender Systems', 'NumPy', 'SciPy']}]","Data Science,Python,A/B Testing"
"Berlin Area, Germany","[{'\n  Industry Knowledge': ['Start-ups', 'Strategy']}, {'\n  Tools & Technologies': ['Java', 'JavaScript', 'R', 'Docker', 'Scala', 'Amazon Web Services (AWS)', 'MeteorJS']}, {'\n  Interpersonal Skills': ['Teamwork']}, {'\n  Other Skills': ['Marketing Research', 'Predictive Analytics', 'Scikit-Learn', 'Deep Learning']}]","Machine Learning,Data Analysis,Python"
Greater New York City Area,"[{'\n  Industry Knowledge': ['Big Data', 'Data Mining', 'Distributed Systems', 'Computer Science', 'Software Engineering', 'Statistics', 'Software Development', 'Image Processing', 'Scalability', 'Computer Vision']}, {'\n  Tools & Technologies': ['SQL', 'Java', 'C++', 'Tableau', 'JavaScript', 'C', 'LaTeX', 'Amazon Web Services (AWS)', 'Hadoop', 'Linux', 'Perl', 'Scala']}, {'\n  Other Skills': ['Data Science', 'Natural Language Processing', 'Text Mining', 'Apache Pig', 'Octave', 'MapReduce', 'Information Retrieval', 'Pattern Recognition', 'Concurrent Programming', 'Graphical Models', 'Probabilistic Models', 'OpenCV']}]","Machine Learning,Python,Algorithms"
"Seattle, Washington","[{'\n  Industry Knowledge': ['Business Intelligence', 'Analytics', 'Process Improvement', 'Supply Chain Management', 'Statistics', 'Supply Chain', 'Six Sigma', 'Procurement', 'Supply Chain Optimization', 'Forecasting', 'Business Analytics', 'Operations Research', 'Business Process Improvement']}, {'\n  Tools & Technologies': ['Microsoft Office', 'Matlab', 'Microsoft Excel', 'Databases', 'C', 'SAS', 'Visual Basic', 'VBA', 'SAP', 'Microsoft Access', 'Excel', 'Python', 'Hadoop', 'Minitab']}, {'\n  Other Skills': ['JMP', 'Hive', 'Alteryx']}]","Data Analysis,Access,SQL"
"Cambridge, Massachusetts","[{'\n  Industry Knowledge': ['Statistics', 'Physics', 'Image Processing', 'Algorithms', 'Optics', 'Imaging']}, {'\n  Tools & Technologies': ['R', 'SQL', 'TensorFlow', 'Matlab', 'Java', 'Amazon Web Services (AWS)', 'D3.js', 'Jupyter Notebook', 'LabVIEW']}, {'\n  Other Skills': ['Deep Learning', 'Seaborn', 'Biophotonics', 'ImageJ']}]","Data Analysis,Python,Machine Learning"
