skill_sets,top_skills
,
"[{'\n  Industry Knowledge': ['Research', 'Mathematics', 'Event Planning', 'Event Management', 'Technical Writing', 'Drums']}, {'\n  Tools & Technologies': ['Microsoft Excel', 'PowerPoint', 'R', 'Microsoft Word', 'SPSS', 'SAS', 'Windows', 'HTML', 'Outlook']}, {'\n  Interpersonal Skills': ['Teamwork', 'Customer Service', 'Public Speaking', 'Time Management', 'Team Leadership', 'Teaching']}, {'\n  Languages': ['English', 'French']}, {'\n  Other Skills': ['Orchestral Percussion', 'Alto Saxophone', 'Fluent English', 'fluent sign language', 'Social Networking', 'fluent irish']}]","Statistics,Data Analysis,Microsoft Office"
,
"[{'\n  Industry Knowledge': ['Statistics', 'Mathematical Modeling', 'Data Analysis', 'Algorithms', 'Research', 'Physics', 'Characterization', 'Financial Modeling']}, {'\n  Tools & Technologies': ['Matlab', 'C++', 'Mathematica', 'MySQL', 'C', 'Perl', 'JavaScript']}, {'\n  Interpersonal Skills': ['Teaching', 'Team Leadership']}, {'\n  Other Skills': ['Condensed Matter Physics', 'Experimental Physics', 'AFM', 'Data Analytics', 'Cryogenics', 'Theoretical Physics', 'Time Series Analysis', 'Vacuum Chambers', 'Algorithm Design', 'Friendliness']}]","Machine Learning,Python,R"
,
,
,
"[{'\n  Industry Knowledge': ['Statistical Modeling', 'Business Planning', 'Data Modeling', 'Statistical Data Analysis', 'Forecasting', 'Data Management', 'Creative Writing', 'Consulting', 'Marketing', 'Market Research', 'Data Analysis', 'Entrepreneurship']}, {'\n  Tools & Technologies': ['Matlab', 'Amazon Web Services (AWS)', 'MongoDB', 'Tableau', 'Microsoft Excel', 'SQL', 'Hadoop']}, {'\n  Other Skills': ['Applied Regression', 'Predictive Analytics', 'Spotfire', 'Exploratory Data Analysis', 'Statistical Inference', 'Data Science', 'ANOVA', 'Data Strategies', 'Hive', 'Looker', 'Fraud Detection']}]","Analytics,Python,R"
,
"[{'\n  Industry Knowledge': ['Data Mining', 'Programming', 'Artificial Intelligence', 'Computer Science', 'Data Analysis', 'Research', 'Computer Vision', 'Statistics', 'Distributed Systems', 'Optimization', 'Signal Processing', 'Software Engineering', 'Software Development']}, {'\n  Tools & Technologies': ['Matlab', 'LaTeX', 'C++', 'Java', 'C', 'Python', 'HTML']}, {'\n  Other Skills': ['Pattern Recognition', 'Information Retrieval', 'Apache Spark']}]","Algorithms,R,Machine Learning"
,
"[{'\n  Industry Knowledge': ['Market Research', 'Analytics', 'Business Strategy']}, {'\n  Tools & Technologies': ['Microsoft Office', 'SQL', 'R', 'AutoCAD']}, {'\n  Interpersonal Skills': ['Team Management', 'Team Leadership', 'Management']}, {'\n  Other Skills': ['Decision Sciences', 'Data Analytics']}]","Data Analysis,Business Analysis,Microsoft Excel"
,
"[{'\n  Industry Knowledge': ['Data Analysis', 'Data Mining', 'Machine Learning', 'SAS programming', 'Analytics', 'Mathematical Modeling', 'Shell Scripting']}, {'\n  Tools & Technologies': ['SAS', 'Matlab', 'Python', 'SQL', 'SPSS', 'Hadoop', 'Scala']}, {'\n  Other Skills': ['Logistic Regression', 'Time Series Analysis', 'MapReduce', 'Survival Analysis', 'Support Vector Machines', 'Octave', 'Apache Pig', 'Hive', 'Spark', 'R studio - Shiny']}]","R,Statistics,Statistical Modeling"
,
"[{'\n  Industry Knowledge': ['Database Marketing', 'Statistical Modeling', 'Big Data', 'Business Analytics', 'Data Analysis', 'Machine Learning', 'Modeling', 'Segmentation', 'Optimization', 'Program Management', 'Management Consulting', 'Optimizations']}, {'\n  Tools & Technologies': ['SAS', 'Databases', 'R', 'Unix', 'Linux', 'SQL']}, {'\n  Interpersonal Skills': ['Management']}, {'\n  Other Skills': ['Communications Audits', 'analytics, statistics, data mining, optimization']}]","Analytics,Data Mining,Statistics"
,
"[{'\n  Industry Knowledge': ['Analysis', 'Business Analysis', 'Web Analytics', 'Business Intelligence', 'Data Mining', 'Strategy', 'Business Analytics', 'Process Improvement', 'Big Data', 'Segmentation', 'Statistical Modeling', 'CRM', 'Business Strategy', 'SAS Programming']}, {'\n  Tools & Technologies': ['SQL', 'Tableau', 'VBA', 'SAS', 'R']}, {'\n  Interpersonal Skills': ['Management', 'Team Management']}, {'\n  Other Skills': ['Predictive Modeling', 'Teradata', 'Logistic Regression', 'Marketing Analytics', 'Spotfire', 'Customer Analysis', 'A/B testing']}]","Analytics,Predictive Analytics,Data Analysis"
,
"[{'\n  Industry Knowledge': ['Programming', 'Algorithms', 'Data Structures', 'Analysis', 'Business Analysis']}, {'\n  Tools & Technologies': ['MySQL', 'Python', 'R', 'C', 'C++', 'Java', 'SQL', 'Matlab', 'Microsoft Excel', 'Tableau', 'Oracle Database', 'Oracle SQL Developer']}, {'\n  Other Skills': ['Teradata', 'Gephi', 'CBR', 'Apache Spark', 'Data Science']}]","Data Mining,Data Analysis,Hive"
,
"[{'\n  Industry Knowledge': ['Machine Learning', 'Data Visualization', 'Email Marketing', 'Data Analysis', 'Quantitative Analytics', 'Data Mining']}, {'\n  Tools & Technologies': ['Python', 'Matlab', 'SPSS', 'Stata', 'Fortran 90', 'SAS', 'LaTeX', 'C++', 'Jenkins', 'Excel', 'Tableau']}, {'\n  Other Skills': ['A/B Testing', 'Predictive Modeling', 'Statistical Consulting', 'Time Series Analysis', 'Experimental Design', 'Bayesian statistics', 'Statistical Programming', 'Linear Regression', 'Monte Carlo Simulation', 'Statistical Computing', 'Applied Mathematics', 'Probability']}]","R,Statistics,SQL"
,
"[{'\n  Industry Knowledge': ['Machine Learning', 'Statistical Analysis', 'Advanced Analytics']}, {'\n  Tools & Technologies': ['SAS', 'SQL', 'Java', 'C']}, {'\n  Other Skills': ['Natural Language Processing', 'Predictive Modeling']}]","Data Mining,Python,R"
,
"[{'\n  Industry Knowledge': ['Quality Assurance', 'Object Oriented Design', 'Software Development', 'OOP', 'System Testing', 'Software Design', 'Object-Oriented Programming (OOP)']}, {'\n  Tools & Technologies': ['Java', 'C++', 'Eclipse', 'Microsoft Office', 'JavaScript', 'Visual Studio', 'HTML', 'Bash', 'Microsoft Excel', 'PowerPoint', 'Microsoft SQL Server', 'Python']}, {'\n  Other Skills': ['Works well in a team', 'Spark', 'Apache Spark']}]","SQL,C#,C"
,
"[{'\n  Industry Knowledge': ['Machine Learning', 'SAS Programming', 'Statistics', 'Data Analysis', 'Research', 'Analysis', 'Mathematics', 'Financial Analysis', 'Risk Management', 'Analytical Skills']}, {'\n  Tools & Technologies': ['Microsoft Excel', 'PowerPoint', 'Microsoft Office', 'Microsoft Word', 'C++', 'MySQL', 'LaTeX', 'SAS', 'Microsoft PowerPoint']}, {'\n  Interpersonal Skills': ['Public Speaking', 'Teamwork']}, {'\n  Other Skills': []}]","Python,R,SQL"
,
"[{'\n  Industry Knowledge': ['Research', 'Machine Learning', 'Econometrics', 'Strategic Planning', 'Actuarial Science', 'Policy', 'Event Management', 'Business Strategy', 'Entrepreneurship', 'Policy Analysis', 'Strategy', 'Program Management', 'Project Management', 'Project Planning', 'Management Consulting', 'Social Media', 'Business Planning', 'Market Research', 'Business Development', 'Business Analysis', 'Government', 'Statistics']}, {'\n  Tools & Technologies': ['R', 'Python', 'Stata', 'VBA for Excel', 'Microsoft Excel', 'Scala', 'Microsoft Azure']}, {'\n  Interpersonal Skills': ['Management', 'Leadership', 'Teamwork', 'Team Leadership', 'Team Management']}, {'\n  Languages': ['English']}, {'\n  Other Skills': ['Time Series Analysis', 'Data Science', 'Deep Learning', 'R-Shiny', 'Social Networking', 'Regression Analysis', 'JMP']}]","Economics,Analysis,Data Analysis"
,
"[{'\n  Industry Knowledge': ['Statistical Modeling', 'Circuit Design', 'PCB design', 'Power Electronics', 'PCB Design', 'Simulations']}, {'\n  Tools & Technologies': ['Python', 'SQL', 'R', 'ANSYS', 'C and C++', 'Microsoft Office']}, {'\n  Other Skills': ['Battery Management', 'Batteries', 'Battery Design Studio', 'Star-CCM+', 'Altium Designer', 'Electric Vehicles']}]","Matlab,Machine Learning,Data Analysis"
,
"[{'\n  Industry Knowledge': ['Data Analysis', 'Modeling', 'Statistics']}, {'\n  Tools & Technologies': ['C++', 'Hadoop', 'NoSQL', 'SQL']}, {'\n  Other Skills': ['Deep Learning', 'Natural Language Processing', 'Bayesian statistics', 'Regression Models']}]","Python,R,Machine Learning"
,
"[{'\n  Industry Knowledge': ['Data Structures', 'Business Strategy', 'Software Development', 'Data Analysis', 'Analytics', 'Strategy', 'Business Intelligence', 'Requirements Analysis', 'Data Mining', 'Algorithms', 'Big Data', 'Data Modeling']}, {'\n  Tools & Technologies': ['Core Java', 'SQL', 'Linux', 'Unix', 'JavaScript', 'Python', 'JSP', 'PL/SQL', 'Hadoop', 'Microsoft Office', 'Servlets', 'Java Enterprise Edition']}, {'\n  Interpersonal Skills': ['Management']}]","C,Java,C++"
,
,
,
"[{'\n  Industry Knowledge': ['Big Data', 'Data Mining', 'Machine Learning']}, {'\n  Tools & Technologies': ['Python', 'Java', 'Hadoop']}, {'\n  Other Skills': []}]","Software Development,LiDAR,Algorithms"
,
"[{'\n  Industry Knowledge': ['Statistical Data Analysis', 'Data Analysis', 'Data Mining']}, {'\n  Tools & Technologies': ['SQL', 'MySQL', 'NoSQL']}, {'\n  Other Skills': ['Apache Spark', 'Hive', 'Big Data Analysis', 'Statistical Consulting']}]","R,Python,Data Visualization"
,
"[{'\n  Industry Knowledge': ['Solution Architecture', 'Machine Learning', 'Business Analytics', 'Data Analysis', 'Algorithms', 'Mathematical Modeling', 'Data Visualization', 'Data Mining', 'Numerical Analysis', 'Statistical Data Analysis', 'Optics', 'Performance Optimization', 'R&D', 'Signal Processing', 'Physics', 'Spectroscopy']}, {'\n  Tools & Technologies': ['Python', 'SQL', 'NoSQL', 'Amazon Web Services (AWS)', 'Hadoop', 'Tableau', 'JSON', 'Matlab', 'Mathematica', 'R', 'AutoCAD', 'Linux', 'JavaScript', 'LaTeX']}, {'\n  Interpersonal Skills': ['People Skills']}, {'\n  Other Skills': ['Data Engineering', 'MapReduce', 'Scientific Computing', 'Data Acquisition', 'Apache Pig', 'IDL', 'Numerical Simulation', 'Parallel Computing', 'Optical Imaging', 'Multivariate Analysis', 'Octave', 'Vacuum Technology', 'Time Series Analysis', 'Recommender Systems', 'Experimental Physics', 'Plasma Physics']}]","Big Data,Data Science,Data Architecture"
,
"[{'\n  Industry Knowledge': ['Statistics', 'Bioinformatics', 'Computer Science', 'Research', 'Software Development', 'Shell Scripting', 'Data Analysis', 'Data Mining', 'Artificial Intelligence', 'Programming']}, {'\n  Tools & Technologies': ['Python', 'Perl', 'Matlab', 'C', 'Java', 'R', 'Linux', 'Unix', 'C++', 'SQL']}, {'\n  Other Skills': ['Apache Spark', 'Drug Design', 'Computational Modeling', 'Pattern Recognition', 'Computational Biology', 'Data Science']}]","Machine Learning,Algorithms,Hadoop"
,
"[{'\n  Industry Knowledge': ['Algorithms', 'Distributed Systems', 'Computer Science', 'Data Analysis', 'Artificial Intelligence', 'Statistical Modeling', 'Statistics']}, {'\n  Tools & Technologies': ['Java', 'C++', 'Hadoop', 'MySQL', 'Matlab', 'SQL', 'LaTeX', 'PL/SQL', 'R', 'C', 'Oracle', 'Microsoft Excel', 'Microsoft Office', 'Tableau']}, {'\n  Other Skills': ['Natural Language Processing', 'Information Retrieval', 'Text Mining', 'Deep Learning', 'Hive']}]","Machine Learning,Python,Data Mining"
,
"[{'\n  Industry Knowledge': ['Machine Learning', 'Artificial Intelligence', 'Data Mining', 'Big Data', 'Algorithms', 'Credit Risk Modeling', 'Analytics', 'Statistical Modeling', 'Mathematical Modeling']}, {'\n  Tools & Technologies': ['R', 'Scala', 'Hadoop', 'SQL', 'SAS', 'TensorFlow']}, {'\n  Other Skills': ['Deep Learning', 'Data Science', 'Fraud Detection', 'Predictive Modeling', 'Logistic Regression', 'Time Series Analysis', 'Decision Trees', 'Model Validation', 'MapReduce', 'Big Data Analytics', 'Hive']}]","Apache Spark,Java,Python"
,
,
,
"[{'\n  Industry Knowledge': ['Analysis', 'Computer Science', 'Mathematics', 'Research', 'Machine Learning', 'Data Analysis', 'Economics', 'Financial Markets', 'Investments', 'Social Media', 'IT Strategy', 'Foreign Languages', 'Finance', 'Art History']}, {'\n  Tools & Technologies': ['SQL', 'Python', 'Microsoft Office', 'Microsoft Excel', 'Matlab', 'C', 'Stata', 'Objective-C']}, {'\n  Interpersonal Skills': ['Public Speaking']}, {'\n  Other Skills': ['Dynamic Programming', 'Big Data Analytics']}]","Java,Databases,Leadership"
,
"[{'\n  Industry Knowledge': []}, {'\n  Tools & Technologies': []}, {'\n  Other Skills': []}]",
,
