country,skill_sets,top_skills
"Berkeley, California","[{'\n  Industry Knowledge': ['Artificial Intelligence', 'Programming', 'TCP/IP']}, {'\n  Tools & Technologies': ['Java', 'C#', 'Linux']}, {'\n  Other Skills': ['Communication Protocols', 'Networking']}]","C,Python,Machine Learning"
San Francisco Bay Area,"[{'\n  Industry Knowledge': ['Data Analysis', 'Research', 'Algorithms', 'Artificial Intelligence', 'Programming', 'Statistical Modeling', 'Data Mining', 'Data Visualization', 'Mathematical Modeling', 'Technical Writing', 'Software Development', 'Computer Science', 'Web Applications', 'Science', 'Psychology']}, {'\n  Tools & Technologies': ['R', 'JavaScript', 'SQL', 'Git', 'Linux', 'LaTeX']}, {'\n  Other Skills': ['Experimental Design', 'Data Science', 'Cognitive Science', 'Algorithm Development', 'Flask (python)', 'Recommender Systems', 'Computational Modeling', 'Bayesian statistics', 'Cognition', 'Time Travel', 'Cognitive Modeling', 'Cognitive Psychology']}]","Machine Learning,Statistics,Python"
Greater Seattle Area,"[{'\n  Industry Knowledge': ['Analysis', 'Big Data', 'User Experience', 'Software Development', 'Survey Design', 'Analytics']}, {'\n  Tools & Technologies': ['SQL', 'R', 'SPSS', 'C#', 'Microsoft SQL Server', 'Python', 'PHP', 'Perl']}, {'\n  Interpersonal Skills': ['Qualitative Research']}, {'\n  Other Skills': ['Structural Equation Modeling', 'Factor Analysis', 'Cluster Analysis', 'Monte Carlo Simulation', 'Conjoint Analysis']}]","Statistics,Data Analysis,Research Design"
San Francisco Bay Area,"[{'\n  Industry Knowledge': ['Machine Learning', 'Statistics', 'Data Visualization', 'Programming', 'Physics', 'Curriculum Development', 'Artificial Intelligence', 'Image Processing', 'Linguistics']}, {'\n  Tools & Technologies': ['Python', 'Amazon Web Services (AWS)', 'D3.js', 'Pandas']}, {'\n  Interpersonal Skills': ['Teaching', 'Presentation Skills', 'Classroom Management']}, {'\n  Other Skills': ['Scikit-Learn', 'Natural Language Processing', 'Matplotlib', 'Deep Learning', 'Astrophysics', 'Error Analysis', 'Science Education', 'Constructive Feedback', 'IDL programming', 'Aquariums']}]","Data Analysis,Data Science,SQL"
San Francisco Bay Area,"[{'\n  Industry Knowledge': ['Data Analysis', 'Data Visualization', 'Analytics', 'Research', 'Project Management', 'Operations Management', 'Business Analysis', 'Strategy', 'Analysis']}, {'\n  Tools & Technologies': ['Microsoft Excel', 'Stata', 'Microsoft Word', 'PowerPoint']}, {'\n  Interpersonal Skills': ['Public Speaking', 'Management']}, {'\n  Other Skills': ['Product Analysis']}]","SQL,Microsoft Office,SPSS"
San Francisco Bay Area,"[{'\n  Industry Knowledge': ['Artificial Intelligence', 'Data Analysis', 'Machine Learning']}, {'\n  Tools & Technologies': []}, {'\n  Other Skills': []}]","Python,Matlab,Java"
,,
,,
"London, Greater London, United Kingdom","[{'\n  Industry Knowledge': ['Yoga']}, {'\n  Tools & Technologies': ['C++', 'HTML', 'JavaScript', 'Ruby on Rails', 'SQL', 'MySQL', 'C', 'jQuery', 'Ruby', 'Oracle SQL', 'Eclipse', 'Python', 'AJAX', 'JSON', 'angular js', 'R', 'Hadoop', 'MongoDB']}, {'\n  Other Skills': ['Hive', 'Twitter Storm']}]","Machine Learning,Natural Language Processing,Java"
,,
