country,skill_sets,top_skills
Ireland,"[{'\n  Industry Knowledge': ['Programming', 'Renewable Energy', 'Algorithms', 'Data Mining', 'Research', 'Social Media', 'Sustainability', 'Engineering', 'Strategic Planning']}, {'\n  Tools & Technologies': ['Python', 'SQL', 'Matlab', 'Photoshop', 'Microsoft Word', 'Microsoft Excel', 'Microsoft Office', 'R']}, {'\n  Interpersonal Skills': ['Customer Service', 'Teamwork', 'Public Speaking']}, {'\n  Languages': ['English']}, {'\n  Other Skills': ['Regression Analysis', 'Bayesian statistics']}]","Statistics,Data Science,Machine Learning"
Ireland,"[{'\n  Industry Knowledge': ['Data Analysis', 'Algorithms', 'Artificial Intelligence', 'Big Data', 'Programming', 'Analysis', 'Software Design', 'Computer Science', 'Sound', 'Signal Processing', 'Music', 'Audio Engineering']}, {'\n  Tools & Technologies': ['Java', 'Matlab', 'SQL', 'LaTeX', 'Pro Tools', 'C++']}, {'\n  Other Skills': ['Audio Processing', 'Music Information Retrieval', 'Predictive Modeling', 'Predictive Analytics']}]","Machine Learning,Data Mining,Python"
Ireland,"[{'\n  Industry Knowledge': ['Quantitative Research', 'Analytics', 'Modeling', 'Data Analysis', 'Research', 'Mathematics', 'Statistical Modeling', 'Statistics', 'Business Analysis', 'Consulting', 'Risk Management', 'Forecasting']}, {'\n  Tools & Technologies': ['SAS', 'SQL']}, {'\n  Other Skills': ['Predictive Modeling', 'SAS E-Miner']}]","Analysis,Data Mining,Physics"
"County Dublin, Ireland","[{'\n  Industry Knowledge': ['Data Analysis', 'Science', 'Bioinformatics', 'Programming']}, {'\n  Tools & Technologies': ['Matlab', 'Microsoft Office', 'SQL', 'HTML', 'LaTeX', 'C++', 'Java', 'PHP']}, {'\n  Other Skills': ['Systems Biology', 'Computational Biology', 'Scientific Computing', 'Proteomics']}]","R,Python,Mathematical Modeling"
,,
"Mountain View, California","[{'\n  Industry Knowledge': ['Mathematical Modeling', 'Physics', 'Numerical Analysis', 'Software Development', 'Research', 'Science', 'Programming', 'Scientific Writing', 'Mathematics', 'Algorithms']}, {'\n  Tools & Technologies': ['Python', 'C++', 'PostgreSQL', 'Perl', 'HTML', 'Unix/Linux', 'Relational Databases', 'Mathematica', 'PowerPoint', 'LaTeX']}, {'\n  Interpersonal Skills': ['Teaching']}, {'\n  Other Skills': ['Scientific Computing', 'Experimentation', 'Computational Modeling', 'Parallel Computing', 'Mathematical Statistics', 'Nuclear Physics', 'Particle Physics', 'ROOT', 'Experimental Physics', 'Computational Physics', 'Monte Carlo Simulation', 'Astrophysics', 'Nanofabrication']}]","Data Analysis,Machine Learning,Statistics"
,,
San Francisco Bay Area,"[{'\n  Industry Knowledge': ['Mathematical Modeling', 'Mathematics', 'Machine Learning', 'SAS programming', 'Data Analysis']}, {'\n  Tools & Technologies': ['Microsoft Excel', 'LaTeX']}, {'\n  Interpersonal Skills': ['Teaching', 'Communication']}]","R,Statistics,Statistical Modeling"
,,
Ireland,"[{'\n  Industry Knowledge': ['Web Development', 'Customer Insight', 'E-commerce', 'Project Management', 'Business Intelligence', 'Web Design', 'Strategic Planning', 'Program Management', 'Software Engineering', 'Statistical Modeling', 'Data Visualization', 'Marketing Strategy']}, {'\n  Tools & Technologies': ['SQL', 'SAS', 'Hadoop', 'Python']}, {'\n  Interpersonal Skills': ['Management', 'Cross-functional Team Leadership', 'Team Leadership', 'Negotiation', 'Team Management']}, {'\n  Other Skills': ['Spotfire', 'Data Science', 'Análisis de negocio', 'Estrategia empresarial', 'Liderazgo de equipos multidisciplinarios', 'Planificación estratégica', 'Gestión de proyectos', 'Inteligencia empresarial', 'Negociación', 'Estrategia', 'Liderazgo de equipos', 'Comercio electrónico', 'Información sobre el consumidor', 'Administración y dirección de empresas', 'Dirección y desarrollo de equipos de trabajo', 'Estrategia de mercadotecnia', 'Desarrollo web', 'Propensity Modeling', 'R (lenguaje de programación)', 'Pruebas A/B']}]","Business Strategy,Strategy,Business Analysis"
