country,skill_sets,top_skills
Ireland,"[{'\n  Industry Knowledge': []}, {'\n  Tools & Technologies': []}, {'\n  Other Skills': []}]",
Ireland,"[{'\n  Industry Knowledge': ['Machine Learning', 'Statistical Data Analysis', 'Object-Oriented Programming (OOP)', 'Design Patterns']}, {'\n  Tools & Technologies': ['C#', 'Microsoft Azure', 'React.js', 'ASP.NET MVC', 'AngularJS', 'JavaScript', 'SQL']}]","Data Science,Natural Language Processing,Deep Learning"
Ireland,"[{'\n  Industry Knowledge': ['Data Mining', 'Web Development', 'Machine Learning', 'Software Engineering', 'Software Development', 'Data Warehousing', 'Computer Science', 'Data Analysis', 'Programming']}, {'\n  Tools & Technologies': ['MySQL', 'Oracle', 'Linux', 'SQL', 'PHP', 'C++', 'JavaScript', 'UML', 'R', 'Unified Modeling Language (UML)', 'Microsoft SQL Server', 'R language', 'XML', 'Github']}, {'\n  Other Skills': ['Semantic Web', 'Shiny']}]","Databases,Java,Web Services"
Greater Seattle Area,"[{'\n  Industry Knowledge': ['Research', 'Data Visualization', 'Statistics', 'Strategic Planning', 'Statistical Modeling', 'Algorithms', 'Computer Vision', 'Big Data', 'Cloud Computing', 'Project Management']}, {'\n  Tools & Technologies': ['SQL', 'C++', 'Databases', 'Hadoop', 'Amazon Web Services (AWS)', 'PostgreSQL', 'Keras', 'TensorFlow', 'Pandas']}, {'\n  Interpersonal Skills': ['Training', 'Problem Solving', 'Leadership', 'Public Speaking']}, {'\n  Other Skills': ['NumPy', 'SciPy', 'Scikit-Learn', 'Deep Learning', 'Natural Language Processing', 'Apache Spark', 'Bayesian statistics', 'Functional Programming', 'Artificial Neural Networks', 'Information Retrieval', 'Cross-functional Collaborations']}]","Python,Machine Learning,Data Analysis"
"Paris 19, Île-de-France, France","[{'\n  Industry Knowledge': ['SAS programming', 'Data Analysis', 'Big Data', 'Machine Learning', 'Business Intelligence', 'Mathematics']}, {'\n  Tools & Technologies': ['R', 'Java', 'C++', 'C', 'Linux', 'SQL', 'SAS']}, {'\n  Other Skills': ['C++ Language']}]","Statistics,Statistical Modeling,Matlab"
"Paris Area, France","[{'\n  Industry Knowledge': []}, {'\n  Tools & Technologies': []}, {'\n  Languages': []}, {'\n  Other Skills': ['Anglais', 'Recherche']}]","Machine Learning,Anglais,Recherche"
"Cambridge, Massachusetts","[{'\n  Industry Knowledge': ['Computer Science', 'Statistical Modeling', 'Distributed Systems', 'Software Engineering', 'Big Data']}, {'\n  Tools & Technologies': ['Python', 'Hadoop', 'C++', 'Matlab', 'R', 'SQL', 'C']}, {'\n  Other Skills': ['Text Mining', 'Data Science', 'Pattern Recognition', 'Time Series Analysis', 'MapReduce']}]","Machine Learning,Algorithms,Data Mining"
Greater Seattle Area,"[{'\n  Industry Knowledge': ['Data Analysis', 'Artificial Intelligence', 'Statistical Modeling', 'Business Intelligence', 'Data Warehousing', 'Data Mining', 'Big Data', 'Algorithms', 'Computer Vision']}, {'\n  Tools & Technologies': ['Python', 'R', 'SQL', 'Databases', 'Microsoft SQL Server', 'Visual Studio']}, {'\n  Other Skills': ['Predictive Analytics', 'Cognitive APIs', 'BOT', 'Natural Language Processing', 'Unix Shell Scripting']}]","Deep Learning,Machine Learning,Data Science"
,,
,,
