title,island,locality,price,beds,size,link,date,ad_type
"Flat / Apartment in Sao Paulo, 3, El Tablero, San Bartolomé de Tirajana",Gran Canaria,San Bartolomé de Tirajana,185000,3,81,https://www.idealista.com/en/inmueble/88102292/,2020-10-01,sale
"Flat / Apartment in El Tablero, San Bartolomé de Tirajana",Gran Canaria,San Bartolomé de Tirajana,179000,4,126,https://www.idealista.com/en/inmueble/91227263/,2020-10-01,sale
"Flat / Apartment in calle Viera y Clavijo, Carrizal, Ingenio",Gran Canaria,Ingenio,118000,3,81,https://www.idealista.com/en/inmueble/91213537/,2020-10-01,sale
"Flat / Apartment in avenida de Gran Canaria, 31, Playa del Inglés, San Bartolomé de Tirajana",Gran Canaria,San Bartolomé de Tirajana,138000,2,60,https://www.idealista.com/en/inmueble/85543798/,2020-10-01,sale
"Flat / Apartment in calle Duque de Osuna, 17, Playa de Arinaga, Agüimes",Gran Canaria,Agüimes,140000,2,100,https://www.idealista.com/en/inmueble/30010193/,2020-10-01,sale
"Flat / Apartment in calle Aremota, 57, Vecindario norte-Cruce Sardina, Santa Lucía de Tirajana",Gran Canaria,Santa Lucía de Tirajana,115000,2,82,https://www.idealista.com/en/inmueble/91217854/,2020-10-01,sale
"Flat / Apartment in Alcalde Sebastián Henriquez, 3, Teror",Gran Canaria,Teror,105000,3,80,https://www.idealista.com/en/inmueble/91140724/,2020-10-01,sale
"Flat / Apartment in Manuel de Falla, Los Tarahales - La Paterna, Las Palmas de Gran Canaria",Gran Canaria,Las Palmas de Gran Canaria,199000,3,118,https://www.idealista.com/en/inmueble/91213002/,2020-10-01,sale
"Flat / Apartment in Faycan, 3, Valsequillo de Gran Canaria",Gran Canaria,Valsequillo de Gran Canaria,88000,3,77,https://www.idealista.com/en/inmueble/90185305/,2020-10-01,sale
"Flat / Apartment in JOHN LENONN, NN, La Pardilla - San Antonio, Telde",Gran Canaria,Telde,65000,2,84,https://www.idealista.com/en/inmueble/89146720/,2020-10-01,sale
"Flat / Apartment in calle Adargoma, 21, Vecindario norte-Cruce Sardina, Santa Lucía de Tirajana",Gran Canaria,Santa Lucía de Tirajana,114000,3,88,https://www.idealista.com/en/inmueble/90699943/,2020-10-01,sale
"Flat / Apartment in Juan Rejón, 3, La Isleta, Las Palmas de Gran Canaria",Gran Canaria,Las Palmas de Gran Canaria,199000,2,58,https://www.idealista.com/en/inmueble/90098800/,2020-10-01,sale
"Flat / Apartment in Juan Rejón, 3, La Isleta, Las Palmas de Gran Canaria",Gran Canaria,Las Palmas de Gran Canaria,199000,2,60,https://www.idealista.com/en/inmueble/90098591/,2020-10-01,sale
