title,island,locality,price,beds,size,link,date,ad_type
"Flat / Apartment in camino Víctor Fernández Gopar, Tías, Tias",Lanzarote,Tias,140000,2,63,https://www.idealista.com/en/inmueble/90468741/,2020-10-01,sale
"Flat / Apartment in calle Triana, Centro, Arrecife",Lanzarote,Arrecife,148000,3,110,https://www.idealista.com/en/inmueble/91199823/,2020-10-01,sale
"Flat / Apartment in calle Charco de la Caldera, Altavista-Titerroy-San Francisco Javier, Arrecife",Lanzarote,Arrecife,87000,2,70,https://www.idealista.com/en/inmueble/91200505/,2020-10-01,sale
"Flat / Apartment in calle Trillo, NN, Argana-Maneje, Arrecife",Lanzarote,Arrecife,99000,3,89,https://www.idealista.com/en/inmueble/91133225/,2020-10-01,sale
"Flat / Apartment in Centro, Arrecife",Lanzarote,Arrecife,130000,3,62,https://www.idealista.com/en/inmueble/91190910/,2020-10-01,sale
"Duplex in avenida de las Palmeras, 15, Costa Teguise, Teguise",Lanzarote,Teguise,180000,2,105,https://www.idealista.com/en/inmueble/91152025/,2020-10-01,sale
"Flat / Apartment in calle Coronel Capaz, 6, 6, Altavista-Titerroy-San Francisco Javier, Arrecife",Lanzarote,Arrecife,74000,2,50,https://www.idealista.com/en/inmueble/91159492/,2020-10-01,sale
"Flat / Apartment in Centro, Arrecife",Lanzarote,Arrecife,150000,3,86,https://www.idealista.com/en/inmueble/91131060/,2020-10-01,sale
"Flat / Apartment in Centro, Arrecife",Lanzarote,Arrecife,145000,2,60,https://www.idealista.com/en/inmueble/91207171/,2020-10-01,sale
"Flat / Apartment in calle el Sarambeque, 25, Centro, Arrecife",Lanzarote,Arrecife,139000,2,80,https://www.idealista.com/en/inmueble/91161714/,2020-10-01,sale
"Duplex in calle las Adelfas, 3, Costa Teguise, Teguise",Lanzarote,Teguise,180000,2,98,https://www.idealista.com/en/inmueble/91145540/,2020-10-01,sale
"Flat / Apartment in calle Almeria, NN, Altavista-Titerroy-San Francisco Javier, Arrecife",Lanzarote,Arrecife,89000,2,61,https://www.idealista.com/en/inmueble/90764719/,2020-10-01,sale
"Flat / Apartment in calle León y Castillo, NN, Centro, Arrecife",Lanzarote,Arrecife,130000,2,80,https://www.idealista.com/en/inmueble/88049799/,2020-10-01,sale
"Duplex in calle Colombia, 7, Costa Teguise, Teguise",Lanzarote,Teguise,198450,3,109,https://www.idealista.com/en/inmueble/87606686/,2020-10-01,sale
"Flat / Apartment in calle el Tres Papás, Arrecife, NN, Centro, Arrecife",Lanzarote,Arrecife,110000,2,59,https://www.idealista.com/en/inmueble/82252477/,2020-10-01,sale
"Flat / Apartment in Valterra-La Vega-Las Salinas, Arrecife",Lanzarote,Arrecife,177000,3,102,https://www.idealista.com/en/inmueble/89154783/,2020-10-01,sale
"Flat / Apartment in calle Cribo, Argana-Maneje, Arrecife",Lanzarote,Arrecife,87000,2,60,https://www.idealista.com/en/inmueble/91161952/,2020-10-01,sale
"Flat / Apartment in Liria, 10, Argana-Maneje, Arrecife",Lanzarote,Arrecife,87000,2,75,https://www.idealista.com/en/inmueble/91151374/,2020-10-01,sale
"Flat / Apartment in calle Teide, Puerto del Carmen, Tias",Lanzarote,Tias,195000,2,56,https://www.idealista.com/en/inmueble/90901509/,2020-10-01,sale
"Flat / Apartment in Calle Coronel Bens, Centro, Arrecife",Lanzarote,Arrecife,115500,2,81,https://www.idealista.com/en/inmueble/89211296/,2020-10-01,sale
"Flat / Apartment in Calle Coronel Bens, Centro, Arrecife",Lanzarote,Arrecife,130500,3,113,https://www.idealista.com/en/inmueble/88769913/,2020-10-01,sale
"Flat / Apartment in Argana-Maneje, Arrecife",Lanzarote,Arrecife,98000,3,79,https://www.idealista.com/en/inmueble/91217188/,2020-10-01,sale
"Flat / Apartment in Tías, Tias",Lanzarote,Tias,182000,2,80,https://www.idealista.com/en/inmueble/91187431/,2020-10-01,sale
"Flat / Apartment in RIEGO, 11, Centro, Arrecife",Lanzarote,Arrecife,81500,3,63,https://www.idealista.com/en/inmueble/88872736/,2020-10-01,sale
"Flat / Apartment in calle Guatemala, NN, Valterra-La Vega-Las Salinas, Arrecife",Lanzarote,Arrecife,110000,2,64,https://www.idealista.com/en/inmueble/90914955/,2020-10-01,sale
