title,island,locality,price,beds,size,link,date,ad_type
"Penthouse in calle del Llac Enol, Son Rapinya - Los Almendros, Palma de Mallorca",Mallorca,Palma de Mallorca,176000,3,77,https://www.idealista.com/en/inmueble/90854414/,2020-10-01,sale
"Flat / Apartment in Son Oliva, Palma de Mallorca",Mallorca,Palma de Mallorca,145000,2,77,https://www.idealista.com/en/inmueble/84974949/,2020-10-01,sale
"Flat / Apartment in Felanitx centro, Felanitx",Mallorca,Felanitx,180000,3,125,https://www.idealista.com/en/inmueble/90293489/,2020-10-01,sale
"Flat / Apartment in calle Puig Major, 8, Sol de Mallorca, Calvià",Mallorca,Calvià,190000,3,112,https://www.idealista.com/en/inmueble/87530755/,2020-10-01,sale
"Flat / Apartment in Pere Garau, Palma de Mallorca",Mallorca,Palma de Mallorca,195000,4,117,https://www.idealista.com/en/inmueble/91228322/,2020-10-01,sale
"Flat / Apartment in Rafal Vell, Palma de Mallorca",Mallorca,Palma de Mallorca,156000,3,80,https://www.idealista.com/en/inmueble/91227928/,2020-10-01,sale
"Flat / Apartment in Son Dureta, Palma de Mallorca",Mallorca,Palma de Mallorca,189000,4,113,https://www.idealista.com/en/inmueble/91225116/,2020-10-01,sale
"Flat / Apartment in Can Picafort, Santa Margalida",Mallorca,Santa Margalida,185000,3,80,https://www.idealista.com/en/inmueble/85109262/,2020-10-01,sale
"Flat / Apartment in Can Picafort, Santa Margalida",Mallorca,Santa Margalida,198000,3,95,https://www.idealista.com/en/inmueble/90949910/,2020-10-01,sale
"Penthouse in Joan Mas i Mates, Sant Joan",Mallorca,Sant Joan,199000,3,285,https://www.idealista.com/en/inmueble/91209640/,2020-10-01,sale
Flat / Apartment in Sa Coma,Mallorca,Sa Coma,180000,3,95,https://www.idealista.com/en/inmueble/91227130/,2020-10-01,sale
"Penthouse in calle can ferrer, Son Ferrer, Calvià",Mallorca,Calvià,199900,2,60,https://www.idealista.com/en/inmueble/89755753/,2020-10-01,sale
"Flat / Apartment in calle aragón, Son Canals - Can Capes, Palma de Mallorca",Mallorca,Palma de Mallorca,189000,3,115,https://www.idealista.com/en/inmueble/91224346/,2020-10-01,sale
"Flat / Apartment in Cas saboners, 2, Palmanova, Calvià",Mallorca,Calvià,150000,2,70,https://www.idealista.com/en/inmueble/91211635/,2020-10-01,sale
"Flat / Apartment in Palmanova, Calvià",Mallorca,Calvià,169000,2,73,https://www.idealista.com/en/inmueble/88876313/,2020-10-01,sale
"Flat / Apartment in Pere Garau, Palma de Mallorca",Mallorca,Palma de Mallorca,148000,3,93,https://www.idealista.com/en/inmueble/90353663/,2020-10-01,sale
"Flat / Apartment in Son Gotleu, Palma de Mallorca",Mallorca,Palma de Mallorca,87300,4,75,https://www.idealista.com/en/inmueble/91220489/,2020-10-01,sale
"Flat / Apartment in S'Arenal, Llucmajor",Mallorca,Llucmajor,165000,2,87,https://www.idealista.com/en/inmueble/87667824/,2020-10-01,sale
"Flat / Apartment in CABRERA, 2, Pont d'Inca, Marratxi",Mallorca,Marratxi,128000,3,70,https://www.idealista.com/en/inmueble/91208403/,2020-10-01,sale
"Flat / Apartment in arco de Sant Martí, Son Cotoner, Palma de Mallorca",Mallorca,Palma de Mallorca,173250,3,98,https://www.idealista.com/en/inmueble/91226011/,2020-10-01,sale
"Flat / Apartment in Pere Garau, Palma de Mallorca",Mallorca,Palma de Mallorca,110000,2,58,https://www.idealista.com/en/inmueble/87087361/,2020-10-01,sale
"Flat / Apartment in Gran Via de Colom, Inca",Mallorca,Inca,179900,3,90,https://www.idealista.com/en/inmueble/91221523/,2020-10-01,sale
"Flat / Apartment in Son Roca - Son Ximelis - Son Anglada, Palma de Mallorca",Mallorca,Palma de Mallorca,114000,3,83,https://www.idealista.com/en/inmueble/91219640/,2020-10-01,sale
"Flat / Apartment in Pere Garau, Palma de Mallorca",Mallorca,Palma de Mallorca,148000,4,93,https://www.idealista.com/en/inmueble/91219468/,2020-10-01,sale
"Flat / Apartment in Ses Cadenes-Arenal, Palma de Mallorca",Mallorca,Palma de Mallorca,155000,2,77,https://www.idealista.com/en/inmueble/91206665/,2020-10-01,sale
"Flat / Apartment in Magaluf, Calvià",Mallorca,Calvià,199000,3,70,https://www.idealista.com/en/inmueble/91223191/,2020-10-01,sale
"Flat / Apartment in calle de Fra Antoni Llinàs, 32, Cas Capiscol, Palma de Mallorca",Mallorca,Palma de Mallorca,172000,3,162,https://www.idealista.com/en/inmueble/88497620/,2020-10-01,sale
Flat / Apartment in Campos,Mallorca,Campos,149000,2,95,https://www.idealista.com/en/inmueble/91222500/,2020-10-01,sale
"Flat / Apartment in Son Oliva, Palma de Mallorca",Mallorca,Palma de Mallorca,192000,4,98,https://www.idealista.com/en/inmueble/91192645/,2020-10-01,sale
"Flat / Apartment in calle de Campanet, Son Amonda - Reis Catòlics, Inca",Mallorca,Inca,150000,2,106,https://www.idealista.com/en/inmueble/91178629/,2020-10-01,sale
"Penthouse in calle del Llac Enol, Son Rapinya - Los Almendros, Palma de Mallorca",Mallorca,Palma de Mallorca,176000,3,77,https://www.idealista.com/en/inmueble/90854414/,2020-10-01,sale
"Flat / Apartment in Son Oliva, Palma de Mallorca",Mallorca,Palma de Mallorca,145000,2,77,https://www.idealista.com/en/inmueble/84974949/,2020-10-01,sale
"Flat / Apartment in Felanitx centro, Felanitx",Mallorca,Felanitx,180000,3,125,https://www.idealista.com/en/inmueble/90293489/,2020-10-01,sale
"Flat / Apartment in calle Puig Major, 8, Sol de Mallorca, Calvià",Mallorca,Calvià,190000,3,112,https://www.idealista.com/en/inmueble/87530755/,2020-10-01,sale
"Flat / Apartment in Pere Garau, Palma de Mallorca",Mallorca,Palma de Mallorca,195000,4,117,https://www.idealista.com/en/inmueble/91228322/,2020-10-01,sale
"Flat / Apartment in Rafal Vell, Palma de Mallorca",Mallorca,Palma de Mallorca,156000,3,80,https://www.idealista.com/en/inmueble/91227928/,2020-10-01,sale
"Flat / Apartment in Son Dureta, Palma de Mallorca",Mallorca,Palma de Mallorca,189000,4,113,https://www.idealista.com/en/inmueble/91225116/,2020-10-01,sale
