title,island,locality,price,beds,size,link,date,ad_type
"Flat / Apartment in calle Taunus, 38001, 12, Las Caletillas-Punta Larga, Candelaria",Tenerife,Candelaria,106500,1,49,https://www.idealista.com/en/inmueble/89748073/,2020-10-01,sale
"Penthouse in avenida Fundador Gonzalo González, 30, Granadilla, Granadilla de Abona",Tenerife,Granadilla de Abona,149000,3,90,https://www.idealista.com/en/inmueble/90813233/,2020-10-01,sale
"Flat / Apartment in calle Perez Zamora, 56, Distrito Playa Jardín, Puerto de la Cruz",Tenerife,Puerto de la Cruz,170000,2,82,https://www.idealista.com/en/inmueble/88937215/,2020-10-01,sale
"Penthouse in calle Doña Julia Trujillo, 10, Alcalá, Guia de Isora",Tenerife,Guia de Isora,157800,3,130,https://www.idealista.com/en/inmueble/88900431/,2020-10-01,sale
"Penthouse in calle Mencey, Charco del Pino, Granadilla de Abona",Tenerife,Granadilla de Abona,149000,3,135,https://www.idealista.com/en/inmueble/91223430/,2020-10-01,sale
"Penthouse in calle Doña Julia Trujillo, 10, Alcalá, Guia de Isora",Tenerife,Guia de Isora,174000,3,200,https://www.idealista.com/en/inmueble/89915983/,2020-10-01,sale
"Flat / Apartment in calle Sol Del Sur, 23, Costa del Silencio-Las Galletas, Arona",Tenerife,Arona,200000,1,50,https://www.idealista.com/en/inmueble/87128565/,2020-10-01,sale
"Penthouse in calle Artemi, NN, Acorán, Santa Cruz de Tenerife",Tenerife,Santa Cruz de Tenerife,192000,2,114,https://www.idealista.com/en/inmueble/82541571/,2020-10-01,sale
"Flat / Apartment in Playa de las Américas, Arona",Tenerife,Arona,165000,1,43,https://www.idealista.com/en/inmueble/91225808/,2020-10-01,sale
"Flat / Apartment in calle BENCHIJIGUA, 19, San Isidro, Granadilla de Abona",Tenerife,Granadilla de Abona,130000,2,76,https://www.idealista.com/en/inmueble/87245182/,2020-10-01,sale
"Flat / Apartment in calle Portugal, 7, Radazul, El Rosario",Tenerife,El Rosario,147500,3,101,https://www.idealista.com/en/inmueble/88997485/,2020-10-01,sale
"Flat / Apartment in calle Sol Del Sur, 23, Costa del Silencio-Las Galletas, Arona",Tenerife,Arona,200000,1,58,https://www.idealista.com/en/inmueble/87128544/,2020-10-01,sale
"Flat / Apartment in calle el Sedal, 7, Los Abrigos, Granadilla de Abona",Tenerife,Granadilla de Abona,102299,2,72,https://www.idealista.com/en/inmueble/90868501/,2020-10-01,sale
"Flat / Apartment in calle San Fermin, 4, Los Majuelos-Taco, San Cristóbal de la Laguna",Tenerife,San Cristóbal de la Laguna,50000,2,78,https://www.idealista.com/en/inmueble/39455856/,2020-10-01,sale
"Flat / Apartment in calle Mencey Adeje, 5, Las Chafiras, San Miguel de Abona",Tenerife,San Miguel de Abona,128000,1,60,https://www.idealista.com/en/inmueble/90562260/,2020-10-01,sale
"Flat / Apartment in calle Luján Pérez, NN, Casco Urbano, Adeje",Tenerife,Adeje,154000,3,89,https://www.idealista.com/en/inmueble/88840871/,2020-10-01,sale
