title,island,locality,price,beds,size,link,date
2 Bedroom Apartment in Santa Lucia De Tirajana,Gran Canaria,Santa Lucia De Tirajana,71500,2,75,https://www.kyero.com/en/property/7948703-apartment-for-sale-santa-lucia-de-tirajana,2020-09-19
3 Bedroom Apartment in Santa Lucia De Tirajana,Gran Canaria,Santa Lucia De Tirajana,130000,3,110,https://www.kyero.com/en/property/7948778-apartment-for-sale-santa-lucia-de-tirajana,2020-09-19
2 Bedroom Apartment in Telde,Gran Canaria,Telde,119000,2,76,https://www.kyero.com/en/property/7948952-apartment-for-sale-telde,2020-09-19
2 Bedroom Apartment in La Garita,Gran Canaria,La Garita,99000,2,68,https://www.kyero.com/en/property/7943225-apartment-for-sale-la-garita,2020-09-19
3 Bedroom Apartment in Moya,Gran Canaria,Moya,110500,3,110,https://www.kyero.com/en/property/7948038-apartment-for-sale-moya,2020-09-19
2 Bedroom Penthouse in Las Vegas (San Mateo),Gran Canaria,Las Vegas (San Mateo),76000,2,62,https://www.kyero.com/en/property/6857869-apartment-for-sale-las-vegas-san-mateo,2020-09-19
2 Bedroom Apartment in Mogan,Gran Canaria,Mogan,110000,2,51,https://www.kyero.com/en/property/7507784-apartment-for-sale-mogan,2020-09-19
3 Bedroom Apartment in Las Palmas De Gran Canaria,Gran Canaria,Las Palmas De Gran Canaria,121900,3,80,https://www.kyero.com/en/property/7308014-apartment-for-sale-las-palmas-de-gran-canaria,2020-09-19
2 Bedroom Penthouse in Valle De Los Nueve,Gran Canaria,Valle De Los Nueve,120000,2,76,https://www.kyero.com/en/property/6859252-apartment-for-sale-valle-de-los-nueve,2020-09-19
3 Bedroom Apartment in Escaleritas,Gran Canaria,Escaleritas,90000,3,90,https://www.kyero.com/en/property/7670452-apartment-for-sale-escaleritas,2020-09-19
2 Bedroom Apartment in Arucas,Gran Canaria,Arucas,99000,2,60,https://www.kyero.com/en/property/7942721-apartment-for-sale-arucas,2020-09-19
4 Bedroom Apartment in Vecindario,Gran Canaria,Vecindario,132000,4,100,https://www.kyero.com/en/property/6666020-apartment-for-sale-vecindario,2020-09-19
3 Bedroom Apartment in Telde,Gran Canaria,Telde,128750,3,93,https://www.kyero.com/en/property/6733561-apartment-for-sale-telde,2020-09-19
3 Bedroom Penthouse in Mogan,Gran Canaria,Mogan,145000,3,60,https://www.kyero.com/en/property/7278455-apartment-for-sale-mogan,2020-09-19
3 Bedroom Apartment in Vecindario,Gran Canaria,Vecindario,140000,3,100,https://www.kyero.com/en/property/6439403-apartment-for-sale-vecindario,2020-09-19
2 Bedroom Duplex in Maspalomas,Gran Canaria,Maspalomas,132000,2,47,https://www.kyero.com/en/property/7887386-apartment-for-sale-maspalomas,2020-09-19
2 Bedroom Apartment in Playa De Tauro,Gran Canaria,Playa De Tauro,133000,2,54,https://www.kyero.com/en/property/7942676-apartment-for-sale-playa-de-tauro,2020-09-19
2 Bedroom Apartment in Arinaga,Gran Canaria,Arinaga,130000,2,65,https://www.kyero.com/en/property/7804818-apartment-for-sale-arinaga,2020-09-19
2 Bedroom Apartment in Mogan,Gran Canaria,Mogan,126500,2,51,https://www.kyero.com/en/property/5942683-apartment-for-sale-mogan,2020-09-19
2 Bedroom Apartment in Mogan,Gran Canaria,Mogan,126000,2,80,https://www.kyero.com/en/property/7621702-apartment-for-sale-mogan,2020-09-19
2 Bedroom Apartment in Santa Lucia De Tirajana,Gran Canaria,Santa Lucia De Tirajana,71500,2,75,https://www.kyero.com/en/property/7948703-apartment-for-sale-santa-lucia-de-tirajana,2020-09-19
3 Bedroom Apartment in Santa Lucia De Tirajana,Gran Canaria,Santa Lucia De Tirajana,130000,3,110,https://www.kyero.com/en/property/7948778-apartment-for-sale-santa-lucia-de-tirajana,2020-09-19
2 Bedroom Apartment in Telde,Gran Canaria,Telde,119000,2,76,https://www.kyero.com/en/property/7948952-apartment-for-sale-telde,2020-09-19
2 Bedroom Apartment in La Garita,Gran Canaria,La Garita,99000,2,68,https://www.kyero.com/en/property/7943225-apartment-for-sale-la-garita,2020-09-19
3 Bedroom Apartment in Moya,Gran Canaria,Moya,110500,3,110,https://www.kyero.com/en/property/7948038-apartment-for-sale-moya,2020-09-19
2 Bedroom Penthouse in Las Vegas (San Mateo),Gran Canaria,Las Vegas (San Mateo),76000,2,62,https://www.kyero.com/en/property/6857869-apartment-for-sale-las-vegas-san-mateo,2020-09-19
2 Bedroom Apartment in Mogan,Gran Canaria,Mogan,110000,2,51,https://www.kyero.com/en/property/7507784-apartment-for-sale-mogan,2020-09-19
3 Bedroom Apartment in Las Palmas De Gran Canaria,Gran Canaria,Las Palmas De Gran Canaria,121900,3,80,https://www.kyero.com/en/property/7308014-apartment-for-sale-las-palmas-de-gran-canaria,2020-09-19
2 Bedroom Penthouse in Valle De Los Nueve,Gran Canaria,Valle De Los Nueve,120000,2,76,https://www.kyero.com/en/property/6859252-apartment-for-sale-valle-de-los-nueve,2020-09-19
3 Bedroom Apartment in Escaleritas,Gran Canaria,Escaleritas,90000,3,90,https://www.kyero.com/en/property/7670452-apartment-for-sale-escaleritas,2020-09-19
2 Bedroom Apartment in Arucas,Gran Canaria,Arucas,99000,2,60,https://www.kyero.com/en/property/7942721-apartment-for-sale-arucas,2020-09-19
4 Bedroom Apartment in Vecindario,Gran Canaria,Vecindario,132000,4,100,https://www.kyero.com/en/property/6666020-apartment-for-sale-vecindario,2020-09-19
3 Bedroom Apartment in Telde,Gran Canaria,Telde,128750,3,93,https://www.kyero.com/en/property/6733561-apartment-for-sale-telde,2020-09-19
3 Bedroom Penthouse in Mogan,Gran Canaria,Mogan,145000,3,60,https://www.kyero.com/en/property/7278455-apartment-for-sale-mogan,2020-09-19
3 Bedroom Apartment in Vecindario,Gran Canaria,Vecindario,140000,3,100,https://www.kyero.com/en/property/6439403-apartment-for-sale-vecindario,2020-09-19
2 Bedroom Duplex in Maspalomas,Gran Canaria,Maspalomas,132000,2,47,https://www.kyero.com/en/property/7887386-apartment-for-sale-maspalomas,2020-09-19
2 Bedroom Apartment in Playa De Tauro,Gran Canaria,Playa De Tauro,133000,2,54,https://www.kyero.com/en/property/7942676-apartment-for-sale-playa-de-tauro,2020-09-19
2 Bedroom Apartment in Arinaga,Gran Canaria,Arinaga,130000,2,65,https://www.kyero.com/en/property/7804818-apartment-for-sale-arinaga,2020-09-19
2 Bedroom Apartment in Mogan,Gran Canaria,Mogan,126500,2,51,https://www.kyero.com/en/property/5942683-apartment-for-sale-mogan,2020-09-19
2 Bedroom Apartment in Mogan,Gran Canaria,Mogan,126000,2,80,https://www.kyero.com/en/property/7621702-apartment-for-sale-mogan,2020-09-19
2 Bedroom Apartment in Puerto Rico,Gran Canaria,Puerto Rico,146000,2,60,https://www.kyero.com/en/property/5798720-apartment-for-sale-puerto-rico,2020-09-19
2 Bedroom Duplex in Tamaraceite,Gran Canaria,Tamaraceite,149000,2,92,https://www.kyero.com/en/property/6859409-apartment-for-sale-tamaraceite,2020-09-19
2 Bedroom Apartment in Santa Lucia De Tirajana,Gran Canaria,Santa Lucia De Tirajana,106420,2,67,https://www.kyero.com/en/property/5720902-apartment-for-sale-santa-lucia-de-tirajana,2020-09-19
3 Bedroom Apartment in Vecindario,Gran Canaria,Vecindario,79900,3,71,https://www.kyero.com/en/property/6255731-apartment-for-sale-vecindario,2020-09-19
3 Bedroom Apartment in Las Palmas De Gran Canaria,Gran Canaria,Las Palmas De Gran Canaria,140000,3,100,https://www.kyero.com/en/property/7744563-apartment-for-sale-las-palmas-de-gran-canaria,2020-09-19
3 Bedroom Apartment in Las Palmas De Gran Canaria,Gran Canaria,Las Palmas De Gran Canaria,55000,3,80,https://www.kyero.com/en/property/7558691-apartment-for-sale-las-palmas-de-gran-canaria,2020-09-19
3 Bedroom Apartment in Vecindario,Gran Canaria,Vecindario,139000,3,100,https://www.kyero.com/en/property/6418499-apartment-for-sale-vecindario,2020-09-19
3 Bedroom Penthouse in Vecindario,Gran Canaria,Vecindario,149990,3,110,https://www.kyero.com/en/property/6394378-apartment-for-sale-vecindario,2020-09-19
3 Bedroom Apartment in San Fernando,Gran Canaria,San Fernando,139900,3,85,https://www.kyero.com/en/property/7670451-apartment-for-sale-san-fernando,2020-09-19
3 Bedroom Apartment in San Fernando,Gran Canaria,San Fernando,147000,3,94,https://www.kyero.com/en/property/7810367-apartment-for-sale-san-fernando,2020-09-19
2 Bedroom Apartment in Mogan,Gran Canaria,Mogan,130000,2,78,https://www.kyero.com/en/property/7278460-apartment-for-sale-mogan,2020-09-19
3 Bedroom Apartment in Castillo Del Romeral,Gran Canaria,Castillo Del Romeral,70000,3,59,https://www.kyero.com/en/property/7352806-apartment-for-sale-castillo-del-romeral,2020-09-19
3 Bedroom Penthouse in Lomo Del Cementerio,Gran Canaria,Lomo Del Cementerio,150000,3,105,https://www.kyero.com/en/property/7508230-apartment-for-sale-lomo-del-cementerio,2020-09-19
3 Bedroom Apartment in Castillo Del Romeral,Gran Canaria,Castillo Del Romeral,98000,3,80,https://www.kyero.com/en/property/6394390-apartment-for-sale-castillo-del-romeral,2020-09-19
3 Bedroom Apartment in Vecindario,Gran Canaria,Vecindario,99900,3,99,https://www.kyero.com/en/property/7041076-apartment-for-sale-vecindario,2020-09-19
2 Bedroom Apartment in Mogan,Gran Canaria,Mogan,149000,2,67,https://www.kyero.com/en/property/7278450-apartment-for-sale-mogan,2020-09-19
2 Bedroom Apartment in San Lorenzo,Gran Canaria,San Lorenzo,106000,2,86,https://www.kyero.com/en/property/7491116-apartment-for-sale-san-lorenzo,2020-09-19
2 Bedroom Apartment in Puerto Rico,Gran Canaria,Puerto Rico,145000,2,55,https://www.kyero.com/en/property/6920404-apartment-for-sale-puerto-rico,2020-09-19
3 Bedroom Apartment in San Fernando,Gran Canaria,San Fernando,132000,3,69,https://www.kyero.com/en/property/7122511-apartment-for-sale-san-fernando,2020-09-19
2 Bedroom Penthouse in Aguimes,Gran Canaria,Aguimes,106000,2,60,https://www.kyero.com/en/property/7574262-apartment-for-sale-aguimes,2020-09-19
3 Bedroom Apartment in Santa Lucia De Tirajana,Gran Canaria,Santa Lucia De Tirajana,80000,3,102,https://www.kyero.com/en/property/7963729-apartment-for-sale-santa-lucia-de-tirajana,2020-09-19
3 Bedroom Apartment in Santa Lucia De Tirajana,Gran Canaria,Santa Lucia De Tirajana,79000,3,102,https://www.kyero.com/en/property/7963998-apartment-for-sale-santa-lucia-de-tirajana,2020-09-19
3 Bedroom Apartment in Ingenio,Gran Canaria,Ingenio,84000,3,112,https://www.kyero.com/en/property/7965288-apartment-for-sale-ingenio,2020-09-19
3 Bedroom Apartment in Teror,Gran Canaria,Teror,78800,3,85,https://www.kyero.com/en/property/7964821-apartment-for-sale-teror,2020-09-19
2 Bedroom Apartment in Telde,Gran Canaria,Telde,109000,2,84,https://www.kyero.com/en/property/7964781-apartment-for-sale-telde,2020-09-19
2 Bedroom Apartment in Santa Lucia De Tirajana,Gran Canaria,Santa Lucia De Tirajana,100000,2,113,https://www.kyero.com/en/property/7964181-apartment-for-sale-santa-lucia-de-tirajana,2020-09-19
3 Bedroom Apartment in Telde,Gran Canaria,Telde,114600,3,131,https://www.kyero.com/en/property/7964547-apartment-for-sale-telde,2020-09-19
3 Bedroom Apartment in Santa Lucia De Tirajana,Gran Canaria,Santa Lucia De Tirajana,82000,3,104,https://www.kyero.com/en/property/7963770-apartment-for-sale-santa-lucia-de-tirajana,2020-09-19
3 Bedroom Apartment in Las Palmas De Gran Canaria,Gran Canaria,Las Palmas De Gran Canaria,69800,3,83,https://www.kyero.com/en/property/7964657-apartment-for-sale-las-palmas-de-gran-canaria,2020-09-19
3 Bedroom Apartment in Santa Lucia De Tirajana,Gran Canaria,Santa Lucia De Tirajana,85000,3,103,https://www.kyero.com/en/property/7963728-apartment-for-sale-santa-lucia-de-tirajana,2020-09-19
3 Bedroom Apartment in Mogan,Gran Canaria,Mogan,147490,3,80,https://www.kyero.com/en/property/7919100-apartment-for-sale-mogan,2020-09-19
3 Bedroom Apartment in Las Palmas De Gran Canaria,Gran Canaria,Las Palmas De Gran Canaria,80000,3,92,https://www.kyero.com/en/property/7873860-apartment-for-sale-las-palmas-de-gran-canaria,2020-09-19
3 Bedroom Apartment in San Fernando,Gran Canaria,San Fernando,150000,3,96,https://www.kyero.com/en/property/7827299-apartment-for-sale-san-fernando,2020-09-19
