title,island,locality,price,beds,size,link,date,ad_type
1 Bedroom Apartment in Arguineguin,Gran Canaria,Arguineguin,850,1,50,https://www.kyero.com/en/property/8048955-apartment-long-let-arguineguin,2020-09-24,rent
2 Bedroom Apartment in Playa Del Ingles,Gran Canaria,Playa Del Ingles,850,2,60,https://www.kyero.com/en/property/8049143-apartment-long-let-playa-del-ingles,2020-09-24,rent
2 Bedroom Duplex in San Bartolome De Tirajana,Gran Canaria,San Bartolome De Tirajana,1500,2,90,https://www.kyero.com/en/property/8049383-apartment-long-let-san-bartolome-de-tirajana,2020-09-24,rent
2 Bedroom Apartment in San Agustin,Gran Canaria,San Agustin,800,2,75,https://www.kyero.com/en/property/8049150-apartment-long-let-san-agustin,2020-09-24,rent
1 Bedroom Apartment in Arguineguin,Gran Canaria,Arguineguin,700,1,46,https://www.kyero.com/en/property/7904079-apartment-long-let-arguineguin,2020-09-24,rent
1 Bedroom Apartment in Puerto Rico,Gran Canaria,Puerto Rico,650,1,35,https://www.kyero.com/en/property/7942840-apartment-long-let-puerto-rico,2020-09-24,rent
1 Bedroom Studio in Maspalomas,Gran Canaria,Maspalomas,650,1,1,https://www.kyero.com/en/property/7939038-apartment-long-let-maspalomas,2020-09-24,rent
2 Bedroom Apartment in San Agustin,Gran Canaria,San Agustin,650,2,62,https://www.kyero.com/en/property/8049149-apartment-long-let-san-agustin,2020-09-24,rent
2 Bedroom Apartment in San Agustin,Gran Canaria,San Agustin,650,2,62,https://www.kyero.com/en/property/8049148-apartment-long-let-san-agustin,2020-09-24,rent
2 Bedroom Apartment in Playa Del Ingles,Gran Canaria,Playa Del Ingles,1500,2,72,https://www.kyero.com/en/property/7887366-apartment-long-let-playa-del-ingles,2020-09-24,rent
2 Bedroom Duplex in Sonnenland,Gran Canaria,Sonnenland,1000,2,100,https://www.kyero.com/en/property/8048611-apartment-long-let-sonnenland,2020-09-24,rent
2 Bedroom Apartment in Puerto Rico,Gran Canaria,Puerto Rico,900,2,50,https://www.kyero.com/en/property/7887146-apartment-long-let-puerto-rico,2020-09-24,rent
Studio in Puerto Rico,Gran Canaria,Puerto Rico,450,1,25,https://www.kyero.com/en/property/7827558-apartment-long-let-puerto-rico,2020-09-24,rent
2 Bedroom Apartment in Playa Del Ingles,Gran Canaria,Playa Del Ingles,1300,2,50,https://www.kyero.com/en/property/7548963-apartment-long-let-playa-del-ingles,2020-09-24,rent
2 Bedroom Apartment in Playa Del Ingles,Gran Canaria,Playa Del Ingles,850,2,65,https://www.kyero.com/en/property/7885449-apartment-long-let-playa-del-ingles,2020-09-24,rent
2 Bedroom Apartment in Arguineguin,Gran Canaria,Arguineguin,800,2,60,https://www.kyero.com/en/property/7758927-apartment-long-let-arguineguin,2020-09-24,rent
2 Bedroom Apartment in Playa Del Ingles,Gran Canaria,Playa Del Ingles,790,2,55,https://www.kyero.com/en/property/7873300-apartment-long-let-playa-del-ingles,2020-09-24,rent
3 Bedroom Triplex in Costa Meloneras,Gran Canaria,Costa Meloneras,2000,3,2,https://www.kyero.com/en/property/6738470-apartment-long-let-costa-meloneras,2020-09-24,rent
1 Bedroom Apartment in Puerto Rico,Gran Canaria,Puerto Rico,850,1,1,https://www.kyero.com/en/property/7507790-apartment-long-let-puerto-rico,2020-09-24,rent
1 Bedroom Penthouse in Arguineguin,Gran Canaria,Arguineguin,1100,1,61,https://www.kyero.com/en/property/7111016-apartment-long-let-arguineguin,2020-09-24,rent
1 Bedroom Apartment in Arguineguin,Gran Canaria,Arguineguin,850,1,50,https://www.kyero.com/en/property/8048955-apartment-long-let-arguineguin,2020-09-24,rent
2 Bedroom Apartment in Playa Del Ingles,Gran Canaria,Playa Del Ingles,850,2,60,https://www.kyero.com/en/property/8049143-apartment-long-let-playa-del-ingles,2020-09-24,rent
2 Bedroom Duplex in San Bartolome De Tirajana,Gran Canaria,San Bartolome De Tirajana,1500,2,90,https://www.kyero.com/en/property/8049383-apartment-long-let-san-bartolome-de-tirajana,2020-09-24,rent
2 Bedroom Apartment in San Agustin,Gran Canaria,San Agustin,800,2,75,https://www.kyero.com/en/property/8049150-apartment-long-let-san-agustin,2020-09-24,rent
1 Bedroom Apartment in Arguineguin,Gran Canaria,Arguineguin,700,1,46,https://www.kyero.com/en/property/7904079-apartment-long-let-arguineguin,2020-09-24,rent
1 Bedroom Apartment in Puerto Rico,Gran Canaria,Puerto Rico,650,1,35,https://www.kyero.com/en/property/7942840-apartment-long-let-puerto-rico,2020-09-24,rent
1 Bedroom Studio in Maspalomas,Gran Canaria,Maspalomas,650,1,1,https://www.kyero.com/en/property/7939038-apartment-long-let-maspalomas,2020-09-24,rent
2 Bedroom Apartment in San Agustin,Gran Canaria,San Agustin,650,2,62,https://www.kyero.com/en/property/8049149-apartment-long-let-san-agustin,2020-09-24,rent
2 Bedroom Apartment in San Agustin,Gran Canaria,San Agustin,650,2,62,https://www.kyero.com/en/property/8049148-apartment-long-let-san-agustin,2020-09-24,rent
2 Bedroom Apartment in Playa Del Ingles,Gran Canaria,Playa Del Ingles,1500,2,72,https://www.kyero.com/en/property/7887366-apartment-long-let-playa-del-ingles,2020-09-24,rent
2 Bedroom Duplex in Sonnenland,Gran Canaria,Sonnenland,1000,2,100,https://www.kyero.com/en/property/8048611-apartment-long-let-sonnenland,2020-09-24,rent
2 Bedroom Apartment in Puerto Rico,Gran Canaria,Puerto Rico,900,2,50,https://www.kyero.com/en/property/7887146-apartment-long-let-puerto-rico,2020-09-24,rent
Studio in Puerto Rico,Gran Canaria,Puerto Rico,450,1,25,https://www.kyero.com/en/property/7827558-apartment-long-let-puerto-rico,2020-09-24,rent
