title,island,locality,price,beds,size,link,date
2 Bedroom Apartment in Inca,Mallorca,Inca,89500,2,77,https://www.kyero.com/en/property/7948999-apartment-for-sale-inca,2020-09-19
2 Bedroom Apartment in Inca,Mallorca,Inca,92000,2,48,https://www.kyero.com/en/property/7938706-apartment-for-sale-inca,2020-09-19
2 Bedroom Apartment in Palma de Majorca,Mallorca,Palma de Majorca,145000,2,90,https://www.kyero.com/en/property/7925445-apartment-for-sale-palma-de-majorca,2020-09-19
2 Bedroom Apartment in Sa Pobla,Mallorca,Sa Pobla,148000,2,68,https://www.kyero.com/en/property/5512052-apartment-for-sale-sa-pobla,2020-09-19
2 Bedroom Apartment in Campos,Mallorca,Campos,149000,2,86,https://www.kyero.com/en/property/7683928-apartment-for-sale-campos,2020-09-19
2 Bedroom Apartment in Palma de Majorca,Mallorca,Palma de Majorca,140000,2,45,https://www.kyero.com/en/property/7844058-apartment-for-sale-palma-de-majorca,2020-09-19
2 Bedroom Apartment in Santa Ponsa,Mallorca,Santa Ponsa,135000,2,42,https://www.kyero.com/en/property/7594262-apartment-for-sale-santa-ponsa,2020-09-19
4 Bedroom Apartment in Felanitx,Mallorca,Felanitx,120000,4,130,https://www.kyero.com/en/property/7938697-apartment-for-sale-felanitx,2020-09-19
2 Bedroom Apartment in Santanyi,Mallorca,Santanyi,149000,2,87,https://www.kyero.com/en/property/7618862-apartment-for-sale-santanyi,2020-09-19
2 Bedroom Apartment in Capdepera,Mallorca,Capdepera,140000,2,65,https://www.kyero.com/en/property/6315998-apartment-for-sale-capdepera,2020-09-19
2 Bedroom Apartment in Felanitx,Mallorca,Felanitx,88000,2,73,https://www.kyero.com/en/property/7567966-apartment-for-sale-felanitx,2020-09-19
2 Bedroom Apartment in Sa Coma (Cala Millor),Mallorca,Sa Coma (Cala Millor),106000,2,74,https://www.kyero.com/en/property/7754797-apartment-for-sale-sa-coma-cala-millor,2020-09-19
2 Bedroom Apartment in Cala Millor,Mallorca,Cala Millor,139000,2,94,https://www.kyero.com/en/property/7913787-apartment-for-sale-cala-millor,2020-09-19
2 Bedroom Apartment in Cala Ferrera,Mallorca,Cala Ferrera,140000,2,70,https://www.kyero.com/en/property/7854541-apartment-for-sale-cala-ferrera,2020-09-19
