title,island,locality,price,beds,size,link,date,ad_type
2 Bedroom Penthouse in Portals Nous,Mallorca,Portals Nous,1850,2,100,https://www.kyero.com/en/property/8048703-apartment-long-let-portals-nous,2020-09-24,rent
3 Bedroom Apartment in Portals Nous,Mallorca,Portals Nous,1200,3,90,https://www.kyero.com/en/property/8048217-apartment-long-let-portals-nous,2020-09-24,rent
1 Bedroom Apartment in Illetes (Ses),Mallorca,Illetes (Ses),900,1,52,https://www.kyero.com/en/property/8029335-apartment-long-let-illetes-ses,2020-09-24,rent
2 Bedroom Apartment in Bendinat,Mallorca,Bendinat,1900,2,127,https://www.kyero.com/en/property/8048702-apartment-long-let-bendinat,2020-09-24,rent
4 Bedroom Apartment in Manacor,Mallorca,Manacor,1200,4,177,https://www.kyero.com/en/property/8007774-apartment-long-let-manacor,2020-09-24,rent
3 Bedroom Apartment in Pollenca,Mallorca,Pollenca,800,3,100,https://www.kyero.com/en/property/8001210-apartment-long-let-pollenca,2020-09-24,rent
3 Bedroom Apartment in Santa Ponsa,Mallorca,Santa Ponsa,1300,3,95,https://www.kyero.com/en/property/7615643-apartment-long-let-santa-ponsa,2020-09-24,rent
2 Bedroom Apartment in Bendinat,Mallorca,Bendinat,1200,2,70,https://www.kyero.com/en/property/7977423-apartment-long-let-bendinat,2020-09-24,rent
4 Bedroom Apartment in Calvia,Mallorca,Calvia,3500,4,196,https://www.kyero.com/en/property/7942622-apartment-long-let-calvia,2020-09-24,rent
2 Bedroom Apartment in Palma de Majorca,Mallorca,Palma de Majorca,1300,2,98,https://www.kyero.com/en/property/8007768-apartment-long-let-palma-de-majorca,2020-09-24,rent
3 Bedroom Penthouse in Santa Ponsa,Mallorca,Santa Ponsa,3000,3,208,https://www.kyero.com/en/property/7942559-apartment-long-let-santa-ponsa,2020-09-24,rent
3 Bedroom Apartment in Son Serra De Marina,Mallorca,Son Serra De Marina,1100,3,121,https://www.kyero.com/en/property/8007791-apartment-long-let-son-serra-de-marina,2020-09-24,rent
