title,island,locality,price,beds,size,link,date,ad_type
2 Bedroom Apartment in Puerto De La Cruz,Tenerife,Puerto De La Cruz,750,2,67,https://www.kyero.com/en/property/7534183-apartment-long-let-puerto-de-la-cruz,24/09/2020,rent
2 Bedroom Apartment in Candelaria,Tenerife,Candelaria,700,2,78,https://www.kyero.com/en/property/8048965-apartment-long-let-candelaria,24/09/2020,rent
2 Bedroom Apartment in Torviscas,Tenerife,Torviscas,750,2,70,https://www.kyero.com/en/property/7882696-apartment-long-let-torviscas,24/09/2020,rent
1 Bedroom Apartment in Arona,Tenerife,Arona,1200,1,50,https://www.kyero.com/en/property/7642007-apartment-long-let-arona,24/09/2020,rent
2 Bedroom Apartment in Puerto De Santiago,Tenerife,Puerto De Santiago,950,2,78,https://www.kyero.com/en/property/7708596-apartment-long-let-puerto-de-santiago,24/09/2020,rent
1 Bedroom Apartment in Guargacho,Tenerife,Guargacho,450,1,45,https://www.kyero.com/en/property/7851505-apartment-long-let-guargacho,24/09/2020,rent
2 Bedroom Apartment in La Caleta (Adeje),Tenerife,La Caleta (Adeje),1250,2,54,https://www.kyero.com/en/property/7499233-apartment-long-let-la-caleta-adeje,24/09/2020,rent
1 Bedroom Apartment in Playa Paraiso,Tenerife,Playa Paraiso,650,1,40,https://www.kyero.com/en/property/7807438-apartment-long-let-playa-paraiso,24/09/2020,rent
1 Bedroom Apartment in Los Abrigos,Tenerife,Los Abrigos,450,1,40,https://www.kyero.com/en/property/7653073-apartment-long-let-los-abrigos,24/09/2020,rent
3 Bedroom Apartment in Playa De Los Cristianos,Tenerife,Playa De Los Cristianos,1000,3,1,https://www.kyero.com/en/property/7851511-apartment-long-let-playa-de-los-cristianos,24/09/2020,rent
2 Bedroom Duplex in Guia De Isora,Tenerife,Guia De Isora,850,2,115,https://www.kyero.com/en/property/8048968-apartment-long-let-guia-de-isora,24/09/2020,rent
2 Bedroom Apartment in La Caleta (Adeje),Tenerife,La Caleta (Adeje),4000,2,100,https://www.kyero.com/en/property/7302366-apartment-long-let-la-caleta-adeje,24/09/2020,rent
1 Bedroom Apartment in Las Canteras,Tenerife,Las Canteras,800,1,54,https://www.kyero.com/en/property/7378588-apartment-long-let-las-canteras,24/09/2020,rent
2 Bedroom Apartment in Callao Salvaje,Tenerife,Callao Salvaje,700,2,50,https://www.kyero.com/en/property/8034132-apartment-long-let-callao-salvaje,24/09/2020,rent
1 Bedroom Apartment in Adeje,Tenerife,Adeje,700,1,46,https://www.kyero.com/en/property/7891651-apartment-long-let-adeje,24/09/2020,rent
